index,latitude,longitude,subzone,region,monthly_rent
296,1.335744,103.695777,151,4,2100
297,1.385752,103.894255,38,3,2600
298,1.370239,103.962894,91,1,3900
299,1.375487,103.942727,92,1,2400
300,1.372077,103.841948,69,3,1250
301,1.4381,103.80443,140,2,2550
302,1.390762,103.905196,100,3,2600
303,1.312344,103.869898,14,0,2950
304,1.33296,103.909905,62,1,2100
305,1.306185,103.796881,53,0,2950
306,1.366599,103.846874,131,3,4200
307,1.374494,103.958958,91,1,2400
308,1.333276,103.86611,96,0,3350
309,1.335788,103.847992,128,0,3050
310,1.399513,103.909753,97,3,2000
311,1.32846,103.723288,116,4,3100
312,1.403481,103.907117,137,3,4000
313,1.398471,103.907769,97,3,3800
314,1.347526,103.935184,118,1,3250
315,1.370245,103.870823,108,3,2200
316,1.35001,103.7465,20,4,1700
317,1.429248,103.845192,146,2,3150
318,1.34421,103.759205,22,4,1800
319,1.34962,103.756432,21,4,2300
320,1.426475,103.829916,148,2,2550
321,1.346258,103.715155,15,4,1450
322,1.313614,103.871604,14,0,4500
323,1.310103,103.788546,49,0,2750
324,1.433453,103.788654,141,2,4200
325,1.365692,103.855098,31,3,1900
326,1.416451,103.836741,147,2,2750
327,1.395953,103.881504,45,3,2600
328,1.376167,103.772207,7,4,1700
329,1.327979,103.925805,70,1,2200
330,1.400843,103.913135,137,3,3700
331,1.299009,103.852285,136,0,3300
332,1.34923,103.696101,151,4,2300
333,1.340708,103.744702,130,4,3450
334,1.289075,103.815318,1,0,3400
335,1.332795,103.911813,62,1,2150
336,1.428849,103.847221,146,2,2000
337,1.388643,103.903636,100,3,2750
338,1.339626,103.744469,130,4,3050
339,1.342952,103.689029,151,4,1650
340,1.389398,103.888043,4,3,2000
341,1.4301,103.833118,148,2,2000
342,1.308821,103.852065,44,0,3150
343,1.379309,103.745365,68,4,2850
344,1.393655,103.890915,4,3,2400
345,1.417823,103.839854,147,2,2300
346,1.327607,103.85986,6,0,2500
347,1.393141,103.895569,105,3,1600
348,1.382199,103.841212,144,3,1700
349,1.335576,103.911546,62,1,2950
350,1.304236,103.767853,36,4,2200
351,1.407898,103.897371,98,3,4050
352,1.352905,103.952539,117,1,3250
353,1.39424,103.894972,105,3,2250
354,1.341072,103.73609,149,4,2300
355,1.356605,103.883651,77,3,3050
356,1.371109,103.962454,91,1,2400
357,1.450861,103.819973,102,2,2600
358,1.375637,103.888739,58,3,2600
359,1.321116,103.941676,10,1,1800
360,1.344098,103.696724,151,4,2000
361,1.417389,103.832369,71,2,2050
362,1.287277,103.810964,1,0,3050
363,1.340332,103.737928,149,4,3350
364,1.436762,103.79334,85,2,3550
365,1.347535,103.951703,117,1,3150
366,1.390951,103.743525,30,4,2850
367,1.36627,103.898029,67,3,2600
368,1.370141,103.89785,67,3,2950
369,1.451943,103.815879,104,2,2200
370,1.333043,103.924774,8,1,2100
371,1.367149,103.954805,91,1,2500
372,1.370025,103.898572,67,3,2600
373,1.329159,103.88601,79,0,1800
374,1.357702,103.959954,117,1,3150
375,1.357203,103.960139,117,1,3650
376,1.30431,103.862781,39,0,3150
377,1.338936,103.742881,130,4,2750
378,1.340902,103.746437,130,4,4200
379,1.286858,103.832846,126,0,4100
380,1.326655,103.886119,79,0,1600
381,1.327974,103.937944,8,1,2000
382,1.391181,103.874322,45,3,4200
383,1.399235,103.904278,83,3,2100
384,1.428614,103.794718,141,2,3800
385,1.327512,103.94222,8,1,1700
386,1.32789,103.721789,116,4,2100
387,1.438282,103.778026,142,2,2100
388,1.36167,103.851955,131,3,2050
389,1.314123,103.764519,33,4,3050
390,1.386469,103.895408,105,3,2600
391,1.391306,103.90833,100,3,3550
392,1.378588,103.83864,144,3,2200
393,1.357829,103.888001,77,3,4600
394,1.35534,103.837459,135,0,2600
395,1.38247,103.747346,29,4,1950
396,1.389358,103.910398,100,3,1800
397,1.434542,103.842114,88,2,3550
398,1.346846,103.72523,54,4,2000
399,1.360365,103.748917,55,4,3000
400,1.311581,103.771625,36,4,2700
401,1.296853,103.853348,19,0,4100
402,1.335454,103.863388,96,0,2750
403,1.274133,103.809633,123,0,3050
404,1.274831,103.810941,123,0,3050
405,1.376041,103.74846,68,4,2600
406,1.382095,103.880613,132,3,3450
407,1.377446,103.888178,132,3,2600
408,1.381596,103.763496,101,4,2600
409,1.344807,103.956997,111,1,2850
410,1.3298,103.933844,8,1,2950
411,1.379914,103.740467,95,4,2100
412,1.393871,103.897506,105,3,1900
413,1.274426,103.839672,42,0,2800
414,1.397981,103.900072,105,3,3150
415,1.33312,103.866911,96,0,2200
416,1.310103,103.788546,49,0,2050
417,1.388348,103.873815,45,3,1900
418,1.325876,103.932493,8,1,2350
419,1.395501,103.91406,97,3,2350
420,1.348659,103.753795,20,4,2500
421,1.293359,103.8088,80,0,3050
422,1.450784,103.818645,102,2,3900
423,1.441682,103.785985,85,2,2750
424,1.304927,103.763519,35,4,1700
425,1.384642,103.897952,105,3,3050
426,1.389195,103.873437,45,3,2950
427,1.421902,103.838606,147,2,1450
428,1.404421,103.907861,137,3,1950
429,1.352805,103.951146,117,1,3150
430,1.36582,103.857062,31,3,1900
431,1.298609,103.852267,136,0,2500
432,1.391734,103.885156,4,3,1900
433,1.290435,103.803106,84,0,2400
434,1.347446,103.692828,151,4,2750
435,1.28836,103.827057,24,0,2400
436,1.426475,103.829916,148,2,3800
437,1.399824,103.915139,137,3,2400
438,1.31442,103.766613,34,4,3800
439,1.36297,103.954392,117,1,4600
440,1.37165,103.843644,69,3,2500
441,1.314991,103.860505,12,0,2950
442,1.368748,103.896535,67,3,1350
443,1.324078,103.934701,10,1,1950
444,1.328916,103.940529,8,1,2600
445,1.387855,103.908393,100,3,2400
446,1.351346,103.949091,117,1,2850
447,1.326697,103.902983,66,0,2400
448,1.401368,103.907096,97,3,2000
449,1.334641,103.849166,128,0,4200
450,1.349256,103.752037,20,4,2750
451,1.286974,103.839076,93,0,2200
452,1.333566,103.856982,72,0,2050
453,1.335838,103.845163,128,0,3150
454,1.36737,103.953118,90,1,2200
455,1.435392,103.835501,88,2,2300
456,1.336886,103.70274,61,4,2400
457,1.392874,103.743812,30,4,2100
458,1.313586,103.769084,34,4,2500
459,1.340332,103.737928,149,4,3250
460,1.345504,103.720558,54,4,1900
461,1.278424,103.826238,65,0,2000
462,1.296853,103.853348,19,0,2850
463,1.348885,103.742036,23,4,1700
464,1.389888,103.888114,4,3,2400
465,1.363453,103.834215,135,0,3350
466,1.376071,103.880924,132,3,2000
467,1.288554,103.82729,24,0,2400
468,1.379611,103.741538,68,4,2500
469,1.302649,103.912185,81,0,1250
470,1.367314,103.954363,91,1,3450
471,1.34361,103.956903,111,1,3700
472,1.323348,103.932874,10,1,2350
473,1.357562,103.87061,108,3,2600
474,1.399773,103.906001,97,3,3600
475,1.373401,103.849073,26,3,1300
476,1.345087,103.717978,54,4,2350
477,1.383102,103.936733,92,1,2900
478,1.305719,103.762168,35,4,2550
479,1.340465,103.747294,130,4,3550
480,1.322332,103.939766,10,1,2200
481,1.34963,103.948635,117,1,1700
482,1.355521,103.96086,117,1,2600
483,1.365119,103.841742,110,3,1800
484,1.361022,103.958601,117,1,2600
485,1.351583,103.718516,54,4,2950
486,1.320416,103.942732,10,1,1800
487,1.293359,103.8088,80,0,4350
488,1.3744,103.848936,26,3,1700
489,1.404117,103.748355,143,4,2100
490,1.33387,103.942057,8,1,3150
491,1.303442,103.768633,36,4,2400
492,1.383724,103.739787,95,4,3150
493,1.445433,103.791997,85,2,2100
494,1.370932,103.947563,90,1,2450
495,1.358442,103.848264,82,0,2800
496,1.321438,103.765901,34,4,1600
497,1.343785,103.715094,15,4,2100
498,1.436655,103.796231,140,2,2750
499,1.348277,103.754681,20,4,3050
500,1.367566,103.951903,90,1,2000
501,1.41537,103.836074,147,2,2850
502,1.403116,103.902287,83,3,3350
503,1.331008,103.938067,8,1,2100
504,1.361904,103.951539,117,1,2300
505,1.384607,103.894502,38,3,2300
506,1.399684,103.903378,83,3,2350
507,1.387855,103.908393,100,3,2100
508,1.350239,103.755101,21,4,1600
509,1.331222,103.9138,62,1,2600
510,1.397672,103.905599,97,3,3450
511,1.388518,103.891083,4,3,2250
512,1.4553,103.817241,104,2,3550
513,1.351252,103.744795,23,4,2850
514,1.341283,103.844605,129,0,1950
515,1.292742,103.802807,84,0,2300
516,1.349093,103.709042,15,4,3700
517,1.32092,103.766378,34,4,2200
518,1.371279,103.835767,69,3,1950
519,1.351467,103.749838,20,4,2700
520,1.354365,103.933392,118,1,2300
521,1.34449,103.760517,22,4,2100
522,1.455881,103.813147,104,2,2100
523,1.302381,103.909239,81,0,3300
524,1.367013,103.950865,90,1,4200
525,1.436924,103.792569,85,2,1850
526,1.38917,103.90593,100,3,2750
527,1.426254,103.848428,146,2,3700
528,1.329304,103.922416,70,1,3150
529,1.386455,103.903158,100,3,2150
530,1.339397,103.700669,61,4,3150
531,1.322832,103.932852,10,1,2250
532,1.379005,103.745926,68,4,1050
533,1.369895,103.842059,69,3,2100
534,1.440755,103.804264,140,2,2950
535,1.3451,103.706912,15,4,2000
536,1.354023,103.954843,117,1,1800
537,1.344806,103.703839,61,4,3700
538,1.286814,103.828928,126,0,5250
539,1.32726,103.940849,8,1,2850
540,1.307637,103.761326,35,4,1800
541,1.433643,103.839635,88,2,2500
542,1.367528,103.85741,31,3,3150
543,1.305707,103.854943,75,0,3350
544,1.315142,103.766056,34,4,3150
545,1.378805,103.894284,57,3,3700
546,1.33387,103.942057,8,1,2950
547,1.294801,103.854467,32,0,2950
548,1.390699,103.907209,100,3,2600
549,1.392092,103.910022,97,3,2100
550,1.366493,103.753113,50,4,2100
551,1.318488,103.766702,34,4,2100
552,1.331841,103.913196,62,1,2000
553,1.324419,103.858185,6,0,2600
554,1.405662,103.908719,137,3,4000
555,1.276559,103.819822,125,0,2000
556,1.357324,103.873633,108,3,1950
557,1.27706,103.820762,125,0,2300
558,1.380805,103.761857,106,4,2350
559,1.287613,103.812272,1,0,2950
560,1.394815,103.913161,97,3,2200
561,1.384642,103.897952,105,3,1900
562,1.343508,103.702816,61,4,2500
563,1.378101,103.736002,95,4,2450
564,1.356509,103.891841,77,3,3150
565,1.352526,103.963367,117,1,3950
566,1.430662,103.837334,88,2,2100
567,1.430662,103.837334,88,2,2100
568,1.338284,103.858468,94,0,2700
569,1.349084,103.715343,54,4,2000
570,1.44625,103.800418,140,2,2100
571,1.329026,103.886931,79,0,2000
572,1.400949,103.913777,137,3,1250
573,1.28112,103.829943,126,0,3350
574,1.306185,103.796881,53,0,2200
575,1.304916,103.782188,41,0,3450
576,1.274699,103.840485,42,0,4000
577,1.395825,103.898498,105,3,2750
578,1.275352,103.82695,124,0,2750
579,1.322789,103.856444,6,0,2400
580,1.341553,103.847295,129,0,2100
581,1.30455,103.912456,81,0,3700
582,1.38359,103.744901,29,4,4200
583,1.404421,103.907861,137,3,2300
584,1.401886,103.904917,83,3,2350
585,1.388518,103.891083,4,3,3150
586,1.338403,103.772686,3,0,2600
587,1.340902,103.746437,130,4,2200
588,1.312406,103.768752,34,4,2100
589,1.334356,103.939033,8,1,2950
590,1.313275,103.873489,14,0,3150
591,1.331038,103.908642,62,1,1700
592,1.357833,103.946727,117,1,2950
593,1.294561,103.809692,80,0,3250
594,1.357602,103.846073,82,0,3550
595,1.360816,103.951612,117,1,2100
596,1.343026,103.95176,111,1,4000
597,1.355111,103.869935,107,3,1600
598,1.356878,103.937739,118,1,3800
599,1.358711,103.83172,135,0,1900
600,1.322837,103.939125,10,1,1450
601,1.419966,103.832204,71,2,2600
602,1.354856,103.932709,118,1,3700
603,1.303178,103.911807,81,0,2550
604,1.346818,103.752497,20,4,1800
605,1.423214,103.833049,148,2,2050
606,1.391251,103.890809,4,3,2300
607,1.401126,103.893476,83,3,2750
608,1.376974,103.739293,95,4,1900
609,1.347989,103.730458,150,4,3150
610,1.390811,103.885496,4,3,3900
611,1.347878,103.941741,118,1,2350
612,1.358432,103.937036,118,1,2850
613,1.375469,103.89073,58,3,3150
614,1.35214,103.930768,118,1,2300
615,1.385634,103.760361,106,4,4000
616,1.38247,103.747346,29,4,1950
617,1.323545,103.771329,113,4,3550
618,1.359763,103.959011,117,1,2600
619,1.369023,103.960913,91,1,3350
620,1.374694,103.836463,69,3,2600
621,1.425366,103.833981,148,2,2300
622,1.381418,103.762739,106,4,2850
623,1.321925,103.88286,79,0,2600
624,1.277449,103.841667,28,0,1600
625,1.28557,103.826276,127,0,2850
626,1.291544,103.803508,84,0,1950
627,1.401083,103.906767,97,3,2100
628,1.35384,103.873319,107,3,1900
629,1.37795,103.904346,67,3,2850
630,1.342349,103.690874,151,4,2600
631,1.371832,103.853671,26,3,2550
632,1.437573,103.796414,140,2,2100
633,1.365347,103.854152,31,3,1050
634,1.346099,103.717876,54,4,2400
635,1.350599,103.868515,107,3,2100
636,1.33638,103.723445,116,4,2100
637,1.3803,103.774175,7,4,2600
638,1.377763,103.843782,144,3,1900
639,1.392913,103.892403,4,3,3150
640,1.279837,103.824758,65,0,2100
641,1.338757,103.722157,116,4,2200
642,1.364182,103.747797,55,4,1850
643,1.432221,103.827555,148,2,3350
644,1.393862,103.88854,4,3,3050
645,1.331801,103.867243,96,0,3150
646,1.3123,103.769944,34,4,2600
647,1.334641,103.84799,128,0,2850
648,1.336593,103.694774,151,4,2100
649,1.445819,103.801069,140,2,1800
650,1.354023,103.954843,117,1,2000
651,1.351326,103.936921,118,1,4200
652,1.34402,103.692241,151,4,3050
653,1.335306,103.913462,62,1,2950
654,1.447576,103.81861,102,2,2050
655,1.322789,103.856444,6,0,1800
656,1.379395,103.839157,144,3,2050
657,1.375374,103.854259,26,3,2950
658,1.456027,103.8161,104,2,1800
659,1.340946,103.699525,61,4,1900
660,1.344807,103.956997,111,1,2850
661,1.355864,103.956049,117,1,2300
662,1.339791,103.735503,149,4,1900
663,1.33649,103.700757,61,4,3450
664,1.278159,103.820475,125,0,2050
665,1.3993,103.744719,143,4,2600
666,1.32092,103.766378,34,4,1800
667,1.369895,103.842059,69,3,2100
668,1.302059,103.796582,119,0,2500
669,1.340902,103.746437,130,4,4200
670,1.329682,103.885408,79,0,1600
671,1.367549,103.836741,110,3,2400
672,1.324419,103.858185,6,0,2100
673,1.321739,103.76491,34,4,2400
674,1.355062,103.870872,107,3,2500
675,1.303405,103.909734,81,0,1900
676,1.336637,103.918995,9,1,2100
677,1.330232,103.909387,62,1,2500
678,1.30337,103.912522,81,0,3150
679,1.319393,103.88444,2,0,3150
680,1.342315,103.846509,129,0,2100
681,1.318309,103.887754,2,0,2100
682,1.375376,103.936974,92,1,3150
683,1.314016,103.761827,33,4,2500
684,1.392968,103.911962,97,3,4000
685,1.318518,103.898788,48,0,2850
686,1.377404,103.940323,92,1,2250
687,1.344041,103.7355,150,4,1850
688,1.414439,103.832774,147,2,1650
689,1.375725,103.849934,26,3,1900
690,1.381041,103.835132,144,3,2000
691,1.290435,103.803106,84,0,1900
692,1.378931,103.900988,57,3,1450
693,1.331413,103.908689,62,1,1900
694,1.398792,103.916625,137,3,2300
695,1.445435,103.819387,102,2,2400
696,1.430612,103.791674,141,2,3800
697,1.334269,103.926542,8,1,2500
698,1.334704,103.929041,8,1,1800
699,1.336687,103.738059,149,4,2950
700,1.308479,103.882288,2,0,2750
701,1.396678,103.906579,97,3,3150
702,1.352069,103.873289,107,3,2300
703,1.399676,103.915392,137,3,4000
704,1.351061,103.745857,20,4,2750
705,1.417901,103.831345,71,2,2300
706,1.387862,103.890705,4,3,1700
707,1.327124,103.721782,116,4,2100
708,1.401392,103.918514,137,3,4100
709,1.286814,103.828928,126,0,4700
710,1.390889,103.890634,4,3,2100
711,1.294382,103.80556,84,0,4200
712,1.394289,103.743063,30,4,1900
713,1.335408,103.724261,116,4,3150
714,1.397356,103.896193,105,3,2750
715,1.303716,103.915067,81,0,1950
716,1.352319,103.948458,117,1,2950
717,1.339564,103.848586,17,0,1800
718,1.430376,103.789928,141,2,2750
719,1.347793,103.719591,54,4,3150
720,1.321361,103.936185,10,1,4500
721,1.286974,103.839076,93,0,1900
722,1.306118,103.914026,81,0,2200
723,1.393322,103.907116,100,3,2400
724,1.323575,103.857035,6,0,3250
725,1.377763,103.843782,144,3,2300
726,1.353168,103.960689,117,1,2750
727,1.341234,103.847294,129,0,2400
728,1.348995,103.747258,20,4,2300
729,1.312717,103.769903,34,4,2750
730,1.379251,103.838032,144,3,3050
731,1.357426,103.843541,82,0,4400
732,1.360947,103.747051,55,4,3700
733,1.433029,103.773134,142,2,2400
