index,num_shopping_mall_500m,nearest_shopping_mall_dist
192,0,589.93
193,0,580.98
194,0,788.94
195,0,1394.39
196,0,651.07
197,0,1190.1
198,0,501.44
199,0,759.36
200,1,211.37
201,0,1134.33
202,3,0.0
203,1,464.27
204,1,383.53
205,1,449.58
206,1,403.84
207,1,398.42
208,1,438.84
209,1,331.03
210,1,351.13
211,0,1516.11
212,0,742.19
213,0,1267.94
214,0,651.07
215,0,804.75
216,0,803.05
217,0,569.1
218,0,1304.1
219,0,534.95
220,0,1227.15
221,2,381.2
222,0,536.87
223,1,205.91
224,1,478.27
225,0,1121.47
226,1,140.0
227,0,611.46
228,0,801.83
229,0,550.5
230,0,1646.62
231,1,164.42
232,3,213.67
233,1,318.02
234,0,1216.35
235,1,422.73
236,1,336.14
237,1,433.21
238,1,466.15
239,3,353.18
240,0,551.99
241,0,1226.28
242,1,251.92
243,0,1356.94
244,7,202.14
245,1,186.61
246,0,748.15
247,1,381.01
248,2,345.8
249,0,1394.29
250,1,478.41
251,0,564.15
252,0,725.33
253,1,123.6
254,1,439.72
255,2,286.09
256,0,829.59
257,0,577.16
258,0,876.85
259,0,1126.62
260,0,710.99
261,0,1089.26
262,2,335.47
263,2,419.5
264,0,745.07
265,1,178.27
266,1,320.12
267,1,441.85
268,0,1667.1
269,2,420.35
270,0,582.1
271,0,605.74
272,1,265.48
273,0,755.28
274,0,838.12
275,0,1215.79
276,0,1118.91
277,2,344.07
278,0,823.68
279,0,1037.52
280,0,565.53
281,0,957.78
282,0,553.26
283,0,786.06
284,0,634.68
285,1,438.6
286,0,572.81
287,3,297.27
288,0,1528.02
289,0,940.93
290,1,425.03
291,0,533.89
292,1,448.52
293,1,497.35
294,0,565.55
295,0,1051.81
296,0,679.2
297,1,352.1
298,1,402.36
299,1,272.37
300,1,445.11
301,1,411.88
302,1,180.66
303,0,683.56
304,0,2279.22
305,1,477.41
306,0,586.57
307,1,431.73
308,1,315.6
309,1,467.71
310,0,552.73
311,0,776.32
312,0,637.55
313,0,762.88
314,0,553.6
315,0,849.53
316,1,294.55
317,0,578.63
318,0,1313.75
319,0,816.74
320,0,748.75
321,1,298.41
322,0,906.22
323,1,365.73
324,2,278.13
325,0,1053.77
326,0,530.28
327,0,778.43
328,0,837.08
329,1,465.28
330,1,223.17
331,6,114.19
332,1,190.13
333,0,692.86
334,0,1079.61
335,0,2107.28
336,0,776.41
337,2,394.09
338,0,584.07
339,0,924.31
340,0,834.53
341,1,422.15
342,2,326.68
343,1,241.53
344,1,494.34
345,1,157.89
346,0,1094.69
347,1,133.27
348,0,1122.84
349,0,2261.29
350,1,207.48
351,0,560.47
352,0,862.57
353,1,243.3
354,0,982.32
355,1,367.56
356,0,510.74
357,1,301.83
358,1,421.13
359,0,1445.7
360,1,275.71
361,0,991.35
362,0,623.26
363,0,824.65
364,1,223.21
365,0,556.73
366,1,133.54
367,0,838.3
368,0,523.12
369,0,576.68
370,0,935.43
371,0,801.7
372,0,599.77
373,0,1362.53
374,0,1164.02
375,0,1205.29
376,1,235.25
377,1,482.31
378,0,672.02
379,0,531.95
380,0,1129.57
381,0,955.16
382,1,203.09
383,0,780.61
384,1,252.53
385,0,1416.49
386,0,787.24
387,0,565.88
388,0,1214.35
389,3,71.82
390,1,489.48
391,1,440.52
392,0,1098.72
393,1,368.05
394,1,318.13
395,1,372.09
396,0,615.08
397,1,172.7
398,0,1419.11
399,0,1111.01
400,0,779.71
401,6,291.86
402,0,698.96
403,0,1540.1
404,0,1520.76
405,1,475.43
406,1,273.15
407,1,211.39
408,3,214.25
409,1,499.54
410,0,628.39
411,0,520.37
412,1,338.39
413,1,422.73
414,0,806.26
415,1,229.21
416,1,365.73
417,1,431.84
418,2,327.79
419,1,180.71
420,0,553.16
421,0,606.53
422,1,302.01
423,0,547.27
424,1,323.69
425,1,458.79
426,2,391.55
427,0,529.57
428,0,647.38
429,0,707.36
430,0,903.59
431,6,146.08
432,0,911.69
433,3,314.83
434,0,564.68
435,1,256.45
436,0,748.75
437,1,382.08
438,3,163.81
439,0,1160.48
440,2,258.25
441,0,596.03
442,0,517.33
443,0,615.46
444,0,1258.94
445,0,652.03
446,1,498.32
447,0,1241.62
448,0,725.87
449,1,301.84
450,1,346.98
451,1,457.1
452,0,811.42
453,0,672.46
454,0,664.59
455,0,730.99
456,0,523.23
457,1,119.15
458,2,444.22
459,0,824.65
460,0,903.92
461,0,899.72
462,6,291.86
463,0,805.18
464,0,809.21
465,0,1100.08
466,1,168.03
467,1,266.13
468,1,403.84
469,0,693.13
470,0,754.76
471,1,442.74
472,2,438.34
473,0,765.52
474,0,851.29
475,2,226.12
476,0,628.54
477,0,849.6
478,1,497.67
479,0,623.12
480,0,1206.15
481,0,540.07
482,0,1350.68
483,0,890.79
484,0,949.58
485,0,887.02
486,0,1580.79
487,0,606.53
488,2,315.36
489,0,689.57
490,0,1514.35
491,1,281.66
492,0,624.2
493,1,319.3
494,1,294.72
495,0,903.95
496,0,545.61
497,1,409.6
498,1,114.07
499,0,660.35
500,0,580.34
501,0,644.97
502,1,366.73
503,0,1091.29
504,0,1176.92
505,1,268.04
506,0,759.76
507,0,652.03
508,0,664.6
509,0,1840.98
510,0,619.31
511,0,592.01
512,0,827.85
513,1,490.99
514,0,1093.57
515,0,525.51
516,1,486.74
517,1,485.9
518,0,1134.33
519,1,145.04
520,0,756.3
521,0,1425.62
522,0,1106.18
523,1,364.6
524,0,604.5
525,1,306.15
526,1,375.61
527,0,1067.96
528,0,869.0
529,1,167.59
530,1,457.14
531,1,459.71
532,1,249.42
533,1,488.47
534,1,304.9
535,0,628.58
536,0,1129.18
537,0,674.22
538,1,109.04
539,0,1261.92
540,0,696.38
541,1,233.14
542,0,902.32
543,3,376.95
544,3,139.96
545,1,495.89
546,0,1514.35
547,7,202.14
548,1,347.85
549,1,414.95
550,0,1300.77
551,3,219.37
552,0,1926.55
553,0,1253.75
554,0,614.44
555,0,1420.75
556,0,718.41
557,0,1311.35
558,3,194.82
559,0,755.28
560,1,71.34
561,1,458.79
562,0,623.21
563,0,936.38
564,0,814.89
565,0,1585.57
566,1,289.34
567,1,289.34
568,0,1184.88
569,1,438.89
570,1,259.52
571,0,1297.57
572,1,211.36
573,0,611.55
574,1,477.41
575,0,697.89
576,1,332.11
577,0,566.99
578,0,1223.91
579,0,1192.6
580,0,983.56
581,0,776.69
582,1,168.79
583,0,647.38
584,0,587.65
585,0,592.01
586,0,548.2
587,0,672.02
588,1,451.16
589,0,1252.65
590,0,1095.92
591,0,2031.74
592,0,621.21
593,0,773.04
594,0,853.85
595,0,1188.1
596,1,145.02
597,0,528.67
598,2,461.15
599,0,508.34
600,0,1124.73
601,0,1031.12
602,0,839.7
603,0,661.65
604,0,545.0
605,0,671.5
606,1,481.32
607,0,1024.01
608,0,568.66
609,0,1836.06
610,0,839.08
611,0,549.79
612,0,648.29
613,1,473.3
614,0,984.49
615,0,589.42
616,1,372.09
617,0,955.83
618,0,1024.88
619,1,467.49
620,0,1098.21
621,1,417.86
622,3,249.63
623,0,1134.57
624,2,376.06
625,1,217.68
626,2,372.37
627,0,768.91
628,1,368.78
629,0,879.97
630,0,712.14
631,0,648.48
632,1,132.09
633,0,1002.65
634,0,601.46
635,1,384.32
636,1,372.91
637,0,517.36
638,0,691.1
639,1,310.8
640,0,808.63
641,1,474.07
642,0,1514.03
643,0,1080.95
644,0,752.53
645,1,159.48
646,0,576.46
647,1,357.83
648,0,628.1
649,1,323.65
650,0,1129.18
651,2,431.55
652,0,614.38
653,0,2060.02
654,1,117.25
655,0,1192.6
656,0,1121.47
657,0,817.77
658,0,947.88
659,1,266.13
660,1,499.54
661,0,1303.79
662,0,897.04
663,0,696.22
664,0,1239.54
665,2,297.54
666,1,485.9
667,1,488.47
668,0,914.37
669,0,672.02
670,0,1447.77
671,0,1134.02
672,0,1253.75
673,0,598.15
674,1,488.01
675,1,448.52
676,0,1656.94
677,0,2038.66
678,0,743.92
679,0,907.27
680,0,916.72
681,0,539.51
682,0,659.1
683,2,304.69
684,1,185.95
685,1,435.99
686,1,230.62
687,0,1307.63
688,0,1021.98
689,1,496.17
690,0,1571.9
691,3,314.83
692,0,739.33
693,0,2063.39
694,0,569.77
695,1,306.94
696,1,271.01
697,0,966.1
698,0,956.18
699,1,451.12
700,0,974.26
701,0,548.47
702,1,202.94
703,1,410.49
704,1,371.04
705,0,1103.12
706,0,587.15
707,0,870.92
708,0,583.77
709,1,109.04
710,0,509.18
711,0,605.74
712,1,246.31
713,1,426.92
714,0,602.72
715,0,1028.63
716,1,409.34
717,0,851.21
718,1,466.71
719,0,806.87
720,0,864.24
721,1,457.1
722,0,1003.45
723,1,318.48
724,0,1223.85
725,0,691.1
726,0,1441.93
727,0,1018.73
728,1,258.02
729,0,556.11
730,0,1198.38
731,0,963.57
732,0,1197.93
733,0,752.26
734,1,228.68
735,0,955.16
736,1,296.81
737,0,512.57
738,0,566.0
739,0,707.18
740,0,837.08
741,0,1183.7
742,0,766.75
743,1,491.37
744,0,664.56
745,0,1264.79
746,2,444.55
747,0,1044.09
748,1,317.08
749,0,1033.89
750,0,1151.5
751,0,1099.89
752,0,883.56
753,0,818.4
754,0,506.75
755,1,227.46
756,0,2302.0
757,1,206.09
758,1,475.51
759,0,593.48
760,1,205.17
761,0,568.79
762,0,509.7
763,0,690.05
764,1,249.33
765,1,412.82
766,0,1094.13
767,0,598.14
768,1,405.48
769,0,719.94
770,0,587.37
771,0,880.78
772,1,127.14
773,0,637.98
774,1,389.17
775,0,1642.56
776,1,391.83
777,0,548.48
778,2,400.43
779,0,1119.73
780,0,675.26
781,2,361.05
782,0,615.25
783,2,469.96
784,2,296.83
785,0,903.25
786,0,1054.97
787,0,647.21
788,1,232.48
789,2,122.21
790,0,1520.67
791,0,673.95
792,0,749.38
793,1,86.99
794,0,1175.09
795,2,371.09
796,0,873.6
797,0,689.57
798,0,608.09
799,1,162.91
800,0,574.75
801,2,170.78
802,0,561.66
803,1,307.58
804,3,125.68
805,1,233.8
806,0,800.55
807,2,355.84
808,0,561.95
809,0,994.21
810,0,634.9
811,0,662.81
812,1,187.96
813,0,666.7
814,0,917.88
815,0,1000.52
816,0,713.84
817,0,1175.45
818,1,413.37
819,0,738.26
820,1,277.09
821,1,338.65
822,0,630.16
823,0,1024.56
824,0,520.6
825,0,809.29
826,0,700.08
827,0,526.63
828,0,807.11
829,1,409.82
830,0,913.08
831,0,760.73
832,0,1100.08
833,2,391.51
834,1,490.64
835,0,911.69
836,1,451.25
837,1,123.19
838,0,896.46
839,0,804.75
840,2,407.5
841,0,1169.49
842,2,245.0
843,0,551.99
844,1,325.73
845,1,361.52
846,1,325.33
847,0,777.51
848,0,1402.78
849,1,441.48
850,1,167.47
851,0,999.16
852,0,1108.88
853,1,369.3
854,0,511.32
855,0,595.14
856,0,634.97
857,1,274.4
858,0,1580.79
859,0,1157.56
860,0,968.04
861,0,2006.24
862,0,1151.84
863,0,605.3
864,0,1661.02
865,0,608.11
866,0,1197.93
867,1,453.71
868,0,720.43
869,0,903.92
870,0,1992.55
871,4,261.25
872,0,683.39
873,0,1329.62
874,1,489.48
875,2,314.62
876,1,365.76
877,0,935.15
878,0,679.64
879,0,871.13
880,1,241.67
881,1,127.14
882,0,1129.18
883,0,838.22
884,0,1075.26
885,1,449.93
886,1,157.5
887,0,813.41
888,1,484.87
889,0,634.14
890,1,230.1
891,2,457.33
892,0,939.91
893,0,764.56
894,2,175.37
895,0,587.37
896,1,213.56
897,0,1127.43
898,2,109.92
899,0,514.28
900,0,769.41
901,3,329.72
902,1,391.83
903,1,316.01
904,1,302.23
905,0,1143.97
906,0,804.97
907,0,1335.72
908,0,952.15
909,0,693.65
910,1,457.93
911,0,1053.18
912,1,484.87
913,2,203.25
914,0,504.41
915,0,717.9
916,1,437.81
917,0,742.49
918,0,752.82
919,0,1209.69
920,0,531.28
921,3,293.26
922,1,326.49
923,0,1126.69
924,0,533.89
925,0,801.49
926,0,1087.89
927,0,851.54
928,1,132.09
929,1,252.34
930,0,650.67
931,0,533.55
932,1,129.78
933,0,671.66
934,1,488.21
935,1,318.13
936,0,652.03
937,0,1536.01
938,0,846.15
939,1,496.17
940,0,545.45
941,0,693.13
942,1,387.19
943,1,480.65
944,0,983.23
945,0,693.13
946,1,360.78
947,0,2274.02
948,0,863.55
949,0,984.11
950,1,448.22
951,1,396.09
952,0,761.0
953,2,374.43
954,1,186.83
955,0,636.2
956,6,146.08
957,2,340.49
958,0,966.28
959,0,966.1
960,1,382.33
961,0,1059.22
962,1,276.67
963,0,580.19
964,1,376.26
965,0,1217.92
966,6,176.22
967,0,1267.08
968,1,281.51
969,0,707.4
970,0,760.31
971,1,243.51
972,1,264.44
973,0,666.33
974,0,576.15
975,0,633.29
976,0,645.57
977,1,481.98
978,2,214.89
979,0,1338.97
980,1,400.31
981,0,861.47
982,1,287.03
983,0,615.46
984,0,903.92
985,1,134.49
986,0,1394.17
987,0,597.4
988,1,400.81
989,1,391.83
990,0,569.83
991,0,638.82
992,0,1008.71
993,1,391.39
994,0,1030.1
995,0,757.44
996,0,1894.12
997,1,416.89
998,1,307.58
999,0,938.78
1000,1,187.96
1001,0,948.08
1002,2,334.33
1003,0,585.43
1004,0,1565.79
1005,0,1238.0
1006,1,349.66
1007,0,1040.01
1008,3,298.63
1009,1,488.76
1010,1,302.56
1011,0,601.46
1012,0,817.98
1013,0,2156.9
1014,1,427.4
1015,0,1182.15
1016,2,424.49
1017,0,963.82
1018,0,1125.95
1019,0,937.84
1020,2,175.32
1021,0,526.57
1022,0,940.93
1023,1,357.01
1024,0,1287.53
1025,0,1526.28
1026,0,518.78
1027,0,542.0
1028,0,867.98
1029,0,955.78
1030,0,606.97
1031,0,841.72
1032,0,656.58
1033,1,390.16
1034,1,459.33
1035,1,278.11
1036,1,305.98
1037,1,350.08
1038,0,1543.56
1039,0,577.78
1040,0,868.59
1041,0,707.98
1042,0,901.54
1043,2,323.41
1044,1,340.01
1045,0,1019.32
1046,0,1249.56
1047,0,508.07
1048,0,781.34
1049,2,295.02
1050,0,959.27
1051,4,201.39
1052,1,387.44
1053,0,924.21
1054,0,629.57
1055,0,606.37
1056,7,202.14
1057,0,737.26
1058,0,578.39
1059,0,1160.13
1060,0,814.89
1061,1,428.77
1062,0,1382.06
1063,0,1025.56
1064,0,551.35
1065,0,580.36
1066,1,83.72
1067,0,1108.27
1068,1,437.24
1069,1,157.89
1070,2,474.25
1071,0,577.11
1072,0,589.03
1073,0,1272.31
1074,0,1127.59
1075,1,406.47
1076,1,473.81
1077,0,808.63
1078,0,908.45
1079,1,372.66
1080,0,593.38
1081,0,626.75
1082,1,239.27
1083,1,157.5
1084,1,98.91
1085,0,1359.5
1086,2,435.66
1087,0,719.55
1088,0,507.27
1089,0,913.08
1090,0,605.3
1091,0,759.36
1092,0,1151.23
1093,1,410.33
1094,0,621.0
1095,0,792.85
1096,2,195.87
1097,0,804.97
1098,1,391.55
1099,4,275.82
1100,0,536.0
1101,1,217.34
1102,0,970.67
1103,0,1100.31
1104,0,821.78
1105,2,201.96
1106,1,277.09
1107,0,1093.57
1108,0,621.84
1109,0,768.05
1110,0,645.29
1111,0,1152.65
1112,1,127.74
1113,0,517.33
1114,3,107.75
1115,1,474.07
1116,1,352.68
1117,0,1143.03
1118,1,140.58
1119,0,1651.92
1120,0,589.42
1121,1,443.74
1122,0,564.27
1123,0,923.6
1124,1,290.77
1125,0,639.41
1126,0,965.23
1127,1,316.7
1128,0,1215.53
1129,0,889.95
1130,0,672.12
1131,0,504.15
1132,0,576.46
1133,0,885.97
1134,0,869.89
1135,2,340.49
1136,0,975.65
1137,0,969.99
1138,0,974.55
1139,0,1331.9
1140,2,471.94
1141,1,400.81
1142,1,420.81
1143,1,492.12
1144,1,497.97
1145,1,180.6
1146,0,594.11
1147,0,747.74
1148,0,710.42
1149,0,730.2
1150,1,375.18
1151,0,1057.78
1152,0,1067.96
1153,1,205.63
1154,2,300.21
1155,0,1225.32
1156,0,647.38
1157,0,1218.71
1158,3,399.64
1159,1,435.6
1160,0,713.84
1161,0,1156.79
1162,0,1399.25
1163,1,488.95
1164,1,265.34
1165,0,627.91
1166,1,407.49
1167,0,638.52
1168,0,1194.35
1169,0,1075.4
1170,0,676.59
1171,0,635.52
1172,1,184.04
1173,0,1107.8
1174,1,88.57
1175,0,619.83
1176,0,659.36
1177,0,1266.33
1178,3,277.97
1179,0,1213.75
1180,0,548.48
1181,0,581.56
1182,0,1155.22
1183,0,1019.48
1184,1,391.83
1185,1,356.95
1186,2,444.55
1187,0,758.85
1188,3,376.95
1189,0,1020.38
1190,1,484.21
1191,0,816.47
1192,1,435.78
1193,0,633.84
1194,0,1077.62
1195,0,627.01
1196,1,198.54
1197,0,1260.7
1198,0,890.13
1199,0,1160.8
1200,1,306.79
1201,1,343.31
1202,1,245.48
1203,0,816.26
1204,1,402.71
1205,0,1157.7
1206,2,361.05
1207,0,910.55
1208,0,1018.55
1209,0,1196.0
1210,0,581.5
1211,1,394.81
1212,0,1027.91
1213,0,697.13
1214,0,695.14
1215,0,1270.87
1216,0,998.27
1217,0,504.41
1218,1,361.72
1219,1,281.45
1220,0,1097.91
1221,0,547.65
1222,0,1168.33
1223,1,357.83
1224,1,420.12
1225,0,615.08
1226,0,526.28
1227,0,1146.89
1228,0,645.06
1229,0,774.74
1230,0,1287.14
1231,0,957.78
1232,0,580.23
1233,0,847.71
1234,1,293.67
1235,0,916.72
1236,2,454.7
1237,0,637.51
1238,1,261.12
1239,0,1002.65
1240,0,934.25
1241,0,602.24
1242,1,494.29
1243,0,901.39
1244,0,598.14
1245,3,334.35
1246,0,1000.48
1247,0,980.02
1248,1,396.41
1249,0,853.97
1250,1,272.19
1251,0,1037.61
1252,0,840.85
1253,1,242.54
1254,0,606.97
1255,0,808.63
1256,0,1010.1
1257,0,856.73
1258,0,543.34
1259,0,777.51
1260,0,2013.94
1261,1,291.76
1262,0,2261.29
1263,0,1311.35
1264,0,975.13
1265,0,1372.55
1266,0,684.47
1267,0,632.27
1268,0,650.83
1269,1,394.27
1270,0,943.72
1271,1,319.14
1272,1,406.15
1273,1,348.74
1274,1,387.16
1275,0,1226.18
1276,6,176.22
1277,0,1125.95
1278,2,378.31
1279,1,453.04
1280,0,772.49
1281,0,812.95
1282,1,489.92
1283,1,309.87
1284,1,222.45
1285,1,181.59
1286,0,1169.43
1287,0,573.24
1288,1,440.23
1289,2,127.02
1290,0,662.05
1291,1,453.24
1292,0,1085.67
1293,0,808.6
1294,0,1091.29
1295,0,797.17
1296,0,1440.01
1297,0,1100.31
1298,0,808.63
1299,2,116.09
1300,0,523.12
1301,1,440.06
1302,0,814.14
1303,0,1565.79
1304,0,879.82
1305,0,1318.14
1306,0,538.11
1307,1,266.05
1308,0,988.24
1309,1,190.58
1310,1,155.61
1311,0,707.66
1312,0,737.26
1313,0,971.1
1314,0,654.57
1315,0,506.27
1316,0,877.13
1317,0,819.47
1318,1,477.83
1319,1,422.99
1320,0,816.74
1321,0,622.34
1322,1,232.18
1323,0,1518.45
1324,0,919.02
1325,0,960.57
1326,0,776.32
1327,6,176.22
1328,0,600.59
1329,0,832.62
1330,0,1450.26
1331,0,933.95
1332,0,652.03
1333,1,228.2
1334,0,1508.95
1335,2,315.36
1336,1,367.34
1337,1,173.86
1338,0,830.8
1339,1,265.75
1340,0,613.58
1341,1,177.36
1342,1,279.13
1343,0,599.86
1344,0,1692.3
1345,0,1580.79
1346,1,409.46
1347,0,1026.91
1348,0,811.21
1349,1,411.96
1350,0,870.1
1351,1,452.82
1352,1,206.27
1353,0,586.57
1354,0,514.41
1355,0,864.25
1356,0,1331.9
1357,1,388.22
1358,2,373.15
1359,1,373.58
1360,0,838.08
1361,0,926.32
1362,0,695.57
1363,2,475.85
1364,0,885.47
1365,0,1085.36
1366,1,152.75
1367,0,871.13
1368,0,520.85
1369,0,1277.7
1370,0,1340.13
1371,4,280.25
1372,0,1167.1
1373,0,937.25
1374,2,62.37
1375,0,514.34
1376,0,701.68
1377,0,1050.21
1378,0,703.56
1379,1,257.16
1380,1,99.86
1381,0,875.64
1382,1,293.04
1383,0,901.04
1384,2,295.76
1385,0,697.32
1386,0,2031.74
1387,0,728.49
1388,0,699.54
1389,2,324.81
1390,1,187.96
1391,1,403.1
1392,0,1026.13
1393,0,664.59
1394,0,1071.0
1395,0,536.34
1396,1,96.38
1397,0,779.08
1398,0,572.8
1399,0,1033.89
1400,1,324.54
1401,0,677.6
1402,1,170.95
1403,1,372.66
1404,0,855.96
1405,0,1404.18
1406,0,608.09
1407,1,392.04
1408,0,966.28
1409,1,211.51
1410,0,659.36
1411,0,707.18
1412,0,691.12
1413,1,351.3
1414,0,783.72
1415,0,1442.76
1416,0,845.55
1417,0,510.52
1418,0,762.07
1419,0,1381.89
1420,0,726.48
1421,1,403.78
1422,1,447.21
1423,0,748.46
1424,2,474.93
1425,0,845.68
1426,1,366.31
1427,0,988.21
1428,1,134.05
1429,0,726.83
1430,1,230.27
1431,0,1304.1
1432,0,709.32
1433,0,689.9
1434,0,626.88
1435,0,640.41
1436,1,479.8
1437,0,559.42
1438,0,1125.95
1439,0,841.55
1440,1,464.96
1441,0,754.33
1442,1,445.41
1443,0,1278.66
1444,1,447.21
1445,0,540.34
1446,0,613.95
1447,0,744.63
1448,0,790.83
1449,1,328.71
1450,1,454.53
1451,0,520.31
1452,1,374.81
1453,1,251.07
1454,1,339.22
1455,2,238.38
1456,2,370.97
1457,0,887.63
1458,1,296.87
1459,2,177.25
1460,0,1368.74
1461,0,531.61
1462,2,296.54
1463,0,970.73
1464,2,278.13
1465,0,724.35
1466,2,401.56
1467,0,601.89
1468,0,529.29
1469,0,1790.71
1470,0,648.48
1471,0,598.56
1472,0,637.85
1473,3,211.49
1474,0,1212.69
1475,1,99.86
1476,0,1528.02
1477,1,377.37
1478,0,2102.49
1479,0,801.82
1480,2,397.34
1481,1,320.94
1482,0,573.62
1483,0,630.43
1484,0,1103.78
1485,0,945.33
1486,0,730.05
1487,0,898.75
1488,4,169.64
1489,1,303.04
1490,0,766.89
1491,1,425.86
1492,1,141.19
1493,1,312.59
1494,0,1487.55
1495,0,914.37
1496,0,1034.59
1497,1,399.34
1498,0,1485.0
1499,0,791.88
1500,0,812.59
1501,1,330.86
1502,0,739.38
1503,0,545.61
1504,0,550.23
1505,0,934.25
1506,0,845.55
1507,0,506.5
1508,0,504.68
1509,3,0.0
1510,0,1118.05
1511,1,417.15
1512,0,678.96
1513,1,447.62
1514,1,360.27
1515,0,686.98
1516,0,792.85
1517,0,682.05
1518,1,409.02
1519,0,576.19
1520,1,443.74
1521,0,560.2
1522,0,943.17
1523,0,552.93
1524,1,472.36
1525,1,438.17
1526,1,341.77
1527,0,1226.28
1528,0,545.45
1529,1,386.79
1530,0,1030.85
1531,0,969.99
1532,0,1030.48
1533,1,288.42
1534,1,317.51
1535,0,823.64
1536,0,796.03
1537,1,389.38
1538,0,1332.78
1539,0,773.0
1540,0,1141.75
1541,0,1179.53
1542,1,226.96
1543,0,1299.01
1544,0,504.71
1545,0,982.9
1546,1,420.75
1547,1,451.23
1548,0,693.36
1549,0,902.76
1550,2,122.21
1551,1,301.72
1552,0,583.13
1553,0,897.04
1554,1,393.93
1555,0,725.33
1556,0,923.44
1557,0,679.06
1558,1,376.59
1559,0,507.43
1560,1,218.95
1561,1,96.38
1562,0,914.16
1563,0,564.36
1564,1,179.63
1565,1,409.34
1566,1,207.48
1567,1,307.46
1568,0,514.43
1569,0,958.91
1570,0,741.04
1571,0,1182.15
1572,0,514.11
1573,2,63.33
1574,1,386.08
1575,0,1423.43
1576,2,328.62
1577,0,938.78
1578,0,648.14
1579,2,387.46
1580,1,308.92
1581,0,933.97
1582,0,930.57
1583,2,292.99
1584,0,1080.65
1585,0,509.03
1586,0,538.79
1587,1,409.46
1588,1,346.73
1589,0,728.07
1590,0,841.38
1591,0,594.62
1592,0,1114.94
1593,0,985.64
1594,0,1038.93
1595,0,1112.76
1596,0,1511.23
1597,1,264.82
1598,1,183.72
1599,0,1794.27
1600,0,928.46
1601,1,414.95
1602,1,140.38
1603,2,438.18
1604,0,1082.88
1605,0,996.19
1606,0,736.9
1607,0,882.05
1608,0,789.08
1609,0,863.57
1610,2,63.33
1611,0,578.92
1612,4,107.64
1613,0,791.32
1614,1,121.24
1615,1,366.73
1616,0,804.17
1617,0,736.42
1618,0,1710.76
1619,0,791.05
1620,2,355.6
1621,1,432.1
1622,0,1084.76
1623,1,230.1
1624,0,759.84
