index,rent_approval_date,town,block,flat_type,flat_model
51,12,2622.233325006245,228,5,2636.2110523221636
52,11,2638.489122639254,353,4,2612.0313047541176
53,3,2398.090586145648,853,4,2612.0313047541176
54,1,2686.857476635514,267,6,2878.7259615384614
55,1,2540.491009681881,417,4,2612.0313047541176
56,6,2640.890550645819,621,4,2439.140271493213
57,0,2502.5743977326406,484,4,2439.140271493213
58,8,2502.5743977326406,458,6,2709.678997846937
59,29,2640.890550645819,842,6,2878.7259615384614
60,28,2640.890550645819,637,5,2636.2110523221636
61,6,2438.2272228320526,33,3,2369.9654622741764
62,4,2516.6805151641047,203,3,2636.2110523221636
63,21,2516.6805151641047,23,3,2636.2110523221636
64,17,2398.090586145648,456,4,2612.0313047541176
65,11,2484.2657342657344,31,4,2369.9654622741764
66,16,2646.8089788732395,205,4,2369.9654622741764
67,28,2686.857476635514,714,6,2878.7259615384614
68,9,2904.1139240506327,69,4,2369.9654622741764
69,4,2416.7000572409847,422,3,2369.9654622741764
70,7,2516.6805151641047,193,4,2636.2110523221636
71,5,2503.2528856243443,470,3,2612.0313047541176
72,23,2466.2982514021774,690,4,2709.678997846937
73,22,2438.2272228320526,69,3,2369.9654622741764
74,21,2638.489122639254,725,4,2612.0313047541176
75,1,2638.489122639254,406,3,2464.689063616869
76,15,2503.2528856243443,923,5,2636.2110523221636
77,4,2416.7000572409847,425,3,2369.9654622741764
78,28,2466.2982514021774,586,5,2636.2110523221636
79,24,2904.1139240506327,6,4,2612.0313047541176
80,5,2840.4328578455484,83,5,2636.2110523221636
81,23,2638.489122639254,716,4,2612.0313047541176
82,23,2904.1139240506327,102,3,2612.0313047541176
83,21,2466.2982514021774,693,2,2612.0313047541176
84,15,2502.5743977326406,681,4,2709.678997846937
85,8,2540.491009681881,340,5,2709.678997846937
86,11,2398.090586145648,805,4,2464.689063616869
87,9,2516.6805151641047,18,4,2612.0313047541176
88,29,2665.5555555555557,305,4,2709.678997846937
89,30,2622.233325006245,245,5,2636.2110523221636
90,17,2398.090586145648,232,4,2369.9654622741764
91,1,2438.2272228320526,19,3,2636.2110523221636
92,9,2416.7000572409847,612,4,2369.9654622741764
93,8,2867.0494084899096,117,5,2636.2110523221636
94,10,2646.8089788732395,508,3,2369.9654622741764
95,27,2398.090586145648,741,4,2369.9654622741764
96,1,2622.233325006245,131,4,2439.140271493213
97,5,2466.2982514021774,556,5,2636.2110523221636
98,5,2438.2272228320526,59,3,2612.0313047541176
99,23,2398.090586145648,217,4,2369.9654622741764
100,0,2640.890550645819,661,5,2636.2110523221636
101,26,2640.890550645819,719,6,2978.033472803347
102,17,2516.6805151641047,147,4,2612.0313047541176
103,1,2622.233325006245,441,3,2612.0313047541176
104,17,2416.7000572409847,172,2,2636.2110523221636
105,9,2438.2272228320526,504,3,2636.2110523221636
106,23,2516.6805151641047,105,3,2612.0313047541176
107,7,2438.2272228320526,183,4,2612.0313047541176
108,23,2416.7000572409847,523,3,2369.9654622741764
109,8,2503.2528856243443,678,3,2464.689063616869
110,4,2638.489122639254,271,3,2612.0313047541176
111,30,2595.1461988304095,20,4,2612.0313047541176
112,11,2398.090586145648,770,5,2636.2110523221636
113,1,2484.2657342657344,28,4,2612.0313047541176
114,1,2493.746110765401,616,4,2439.140271493213
115,15,2516.6805151641047,203,3,2636.2110523221636
116,28,2516.6805151641047,205,3,2636.2110523221636
117,5,2502.5743977326406,543,4,2612.0313047541176
118,11,2622.233325006245,267,5,2709.678997846937
119,12,2416.7000572409847,705,3,2369.9654622741764
120,3,2466.2982514021774,687,5,2709.678997846937
121,30,2646.150885296382,220,4,2369.9654622741764
122,11,2646.8089788732395,355,5,2444.223985890653
123,4,2516.6805151641047,18,3,2636.2110523221636
124,30,2640.890550645819,925,4,2612.0313047541176
125,1,2638.489122639254,915,3,2612.0313047541176
126,14,2665.537634408602,54,5,2444.223985890653
127,19,2904.1139240506327,125,5,2612.0313047541176
128,11,2640.890550645819,176,3,2636.2110523221636
129,20,3153.6585365853657,662,4,2636.2110523221636
130,20,2446.109123434705,370,4,2464.689063616869
131,7,2466.2982514021774,886,3,2709.678997846937
132,8,2438.2272228320526,126,3,2369.9654622741764
133,27,2622.233325006245,298,5,2709.678997846937
134,4,2398.090586145648,504,4,2612.0313047541176
135,25,2398.090586145648,774,3,2464.689063616869
136,14,2640.890550645819,438,3,2612.0313047541176
137,9,2904.1139240506327,56,4,2369.9654622741764
138,29,2438.2272228320526,71,3,2369.9654622741764
139,3,2502.5743977326406,472,4,2612.0313047541176
140,12,2416.7000572409847,308,3,2612.0313047541176
141,27,2516.6805151641047,50,5,2636.2110523221636
142,28,2438.2272228320526,506,5,2636.2110523221636
143,21,2503.2528856243443,129,4,2612.0313047541176
144,1,2904.1139240506327,18,3,2612.0313047541176
145,10,2595.1461988304095,62,4,2612.0313047541176
146,11,2640.890550645819,209,3,2636.2110523221636
147,22,2502.5743977326406,503,5,2636.2110523221636
148,20,2416.7000572409847,326,4,2369.9654622741764
149,29,2640.890550645819,347,4,2612.0313047541176
150,26,2516.6805151641047,17,4,2612.0313047541176
151,26,2416.7000572409847,421,3,2369.9654622741764
152,17,2622.233325006245,266,4,2709.678997846937
153,0,2438.2272228320526,72,5,2444.223985890653
154,1,2904.1139240506327,43,3,2636.2110523221636
155,21,2665.5555555555557,197,5,2636.2110523221636
156,4,2638.489122639254,106,4,2612.0313047541176
157,8,2638.489122639254,907,3,2612.0313047541176
158,13,2416.7000572409847,470,4,2369.9654622741764
159,11,2867.0494084899096,177,5,2636.2110523221636
160,18,2503.2528856243443,709,3,2369.9654622741764
161,1,2640.890550645819,838,5,2636.2110523221636
162,7,2665.537634408602,55,5,2444.223985890653
163,21,2904.1139240506327,44,3,2636.2110523221636
164,12,2466.2982514021774,539,5,2636.2110523221636
165,17,2622.233325006245,318,4,2709.678997846937
166,23,2466.2982514021774,879,5,2636.2110523221636
167,29,2516.6805151641047,153,5,2636.2110523221636
168,0,2446.109123434705,226,3,2369.9654622741764
169,6,2398.090586145648,798,5,2636.2110523221636
170,14,2646.8089788732395,520,3,2369.9654622741764
171,15,2840.4328578455484,23,4,2636.2110523221636
172,0,2493.746110765401,505,4,2612.0313047541176
173,18,2438.2272228320526,42,4,2636.2110523221636
174,0,2416.7000572409847,254,4,2369.9654622741764
175,22,2867.0494084899096,201,6,2978.033472803347
176,25,2503.2528856243443,911,4,2439.140271493213
177,0,2466.2982514021774,557,4,2612.0313047541176
178,21,2503.2528856243443,239,4,2612.0313047541176
179,11,2638.489122639254,147,6,2978.033472803347
180,28,2904.1139240506327,109,5,2636.2110523221636
181,26,2867.0494084899096,226,5,2612.0313047541176
182,1,2867.0494084899096,408,5,2636.2110523221636
183,0,2638.489122639254,157,3,2369.9654622741764
184,24,2516.6805151641047,147,4,2612.0313047541176
185,6,2640.890550645819,490,4,2612.0313047541176
186,15,2904.1139240506327,69,4,2612.0313047541176
187,22,2904.1139240506327,112,5,2636.2110523221636
188,15,2438.2272228320526,708,4,2369.9654622741764
189,13,2398.090586145648,402,3,2612.0313047541176
190,29,2446.109123434705,507,3,2636.2110523221636
191,17,2646.8089788732395,450,3,2369.9654622741764
192,11,2686.857476635514,702,4,2612.0313047541176
193,6,2638.489122639254,151,5,2636.2110523221636
194,7,2398.090586145648,775,5,2636.2110523221636
195,10,2638.489122639254,383,5,2636.2110523221636
196,7,2595.1461988304095,210,3,2369.9654622741764
197,14,2466.2982514021774,202,3,2369.9654622741764
198,1,2398.090586145648,232,4,2369.9654622741764
199,25,2446.109123434705,164,3,2612.0313047541176
200,29,2502.5743977326406,110,3,2612.0313047541176
201,18,2416.7000572409847,112,3,2369.9654622741764
202,4,2646.8089788732395,441,4,2612.0313047541176
203,17,2466.2982514021774,825,4,2464.689063616869
204,21,2840.4328578455484,160,4,2636.2110523221636
205,11,2646.150885296382,236,4,2464.689063616869
206,0,2502.5743977326406,286,4,2612.0313047541176
207,23,2622.233325006245,105,4,2612.0313047541176
208,13,2398.090586145648,234,3,2369.9654622741764
209,22,2646.8089788732395,345,3,2369.9654622741764
210,29,2502.5743977326406,220,5,2636.2110523221636
211,26,2638.489122639254,347,4,2612.0313047541176
212,26,2646.8089788732395,103,4,2369.9654622741764
213,17,2638.489122639254,326,6,2978.033472803347
214,9,2595.1461988304095,210,3,2369.9654622741764
215,23,2638.489122639254,230,5,2636.2110523221636
216,12,2640.890550645819,138,3,3150.4043126684637
217,11,2516.6805151641047,174,3,2636.2110523221636
218,7,2438.2272228320526,181,4,2612.0313047541176
219,11,2438.2272228320526,221,4,2612.0313047541176
220,12,2484.2657342657344,39,3,2444.223985890653
221,10,2416.7000572409847,322,4,2369.9654622741764
222,25,2398.090586145648,146,3,2369.9654622741764
223,29,2466.2982514021774,582,5,2636.2110523221636
224,0,2646.150885296382,209,3,2464.689063616869
225,20,2416.7000572409847,610,3,2369.9654622741764
226,13,2398.090586145648,310,5,2612.0313047541176
227,15,2638.489122639254,726,5,2636.2110523221636
228,1,2502.5743977326406,687,5,2636.2110523221636
229,3,2503.2528856243443,456,4,2612.0313047541176
230,3,2438.2272228320526,623,4,2369.9654622741764
231,5,2665.5555555555557,633,4,2709.678997846937
232,1,2646.8089788732395,435,3,2369.9654622741764
233,19,2466.2982514021774,809,4,2612.0313047541176
234,28,2638.489122639254,459,4,2464.689063616869
235,28,2904.1139240506327,11,4,2612.0313047541176
236,5,2622.233325006245,188,4,2612.0313047541176
237,14,2686.857476635514,251,6,2878.7259615384614
238,11,2646.8089788732395,339,3,2369.9654622741764
239,30,2840.4328578455484,170,3,2636.2110523221636
240,3,2438.2272228320526,516,5,2636.2110523221636
241,12,2438.2272228320526,37,4,2636.2110523221636
242,14,2640.890550645819,628,6,2878.7259615384614
243,0,2446.109123434705,388,5,2636.2110523221636
244,8,2665.537634408602,3,3,2636.2110523221636
245,30,2493.746110765401,529,5,2636.2110523221636
246,25,2416.7000572409847,432,3,2369.9654622741764
247,6,2640.890550645819,274,6,2878.7259615384614
248,9,2466.2982514021774,787,4,2612.0313047541176
249,16,2484.2657342657344,53,3,2636.2110523221636
250,30,2398.090586145648,766,4,2464.689063616869
251,5,2904.1139240506327,2,4,2612.0313047541176
252,3,2640.890550645819,847,5,2612.0313047541176
253,23,2904.1139240506327,10,4,2612.0313047541176
254,3,2646.8089788732395,342,5,2636.2110523221636
255,30,2646.8089788732395,428,3,2369.9654622741764
256,1,2665.537634408602,13,5,2636.2110523221636
257,6,2640.890550645819,673,4,2612.0313047541176
258,25,2416.7000572409847,463,3,2369.9654622741764
259,30,2904.1139240506327,90,4,2612.0313047541176
260,17,2640.890550645819,677,5,2709.678997846937
261,12,2398.090586145648,807,3,2464.689063616869
262,19,2466.2982514021774,521,6,2709.678997846937
263,0,2638.489122639254,702,4,2612.0313047541176
264,12,2416.7000572409847,321,3,2369.9654622741764
265,26,2904.1139240506327,28,3,2444.223985890653
266,27,2503.2528856243443,692,4,2464.689063616869
267,29,2502.5743977326406,676,5,2709.678997846937
268,29,2438.2272228320526,615,3,2369.9654622741764
269,9,2466.2982514021774,520,5,2709.678997846937
270,22,2638.489122639254,168,5,3150.4043126684637
271,14,2840.4328578455484,181,4,2612.0313047541176
272,5,2516.6805151641047,105,3,2612.0313047541176
273,6,2904.1139240506327,51,5,2636.2110523221636
274,26,2516.6805151641047,125,3,2636.2110523221636
275,23,2904.1139240506327,69,4,2612.0313047541176
276,8,2904.1139240506327,18,3,2636.2110523221636
277,1,2867.0494084899096,195,3,2464.689063616869
278,10,2438.2272228320526,724,4,2612.0313047541176
279,6,2446.109123434705,173,4,2369.9654622741764
280,1,2640.890550645819,652,5,2636.2110523221636
281,30,2416.7000572409847,471,3,2369.9654622741764
282,3,2502.5743977326406,670,4,2709.678997846937
283,19,2622.233325006245,313,4,2709.678997846937
284,23,2622.233325006245,302,6,2878.7259615384614
285,10,2686.857476635514,516,5,2636.2110523221636
286,12,2646.8089788732395,711,3,2369.9654622741764
287,19,3153.6585365853657,532,3,2636.2110523221636
288,13,2416.7000572409847,602,4,2369.9654622741764
289,11,2416.7000572409847,109,3,2369.9654622741764
290,6,2622.233325006245,201,4,2612.0313047541176
291,7,2665.5555555555557,112,5,2709.678997846937
292,7,2585.947712418301,65,3,2636.2110523221636
293,16,2638.489122639254,146,6,2978.033472803347
294,22,2640.890550645819,659,5,2636.2110523221636
295,1,2416.7000572409847,232,3,2369.9654622741764
296,19,2640.890550645819,988,5,2709.678997846937
297,21,2622.233325006245,270,4,2709.678997846937
298,28,2686.857476635514,250,6,2878.7259615384614
299,11,2686.857476635514,609,6,2878.7259615384614
300,8,2416.7000572409847,134,4,2369.9654622741764
301,23,2466.2982514021774,693,2,2612.0313047541176
302,13,2622.233325006245,148,5,2636.2110523221636
303,20,2665.537634408602,8,3,2709.678997846937
304,1,2438.2272228320526,125,4,2612.0313047541176
305,27,2840.4328578455484,32,3,2636.2110523221636
306,28,2416.7000572409847,329,4,2369.9654622741764
307,3,2686.857476635514,478,4,2612.0313047541176
308,29,2516.6805151641047,139,3,2612.0313047541176
309,26,2516.6805151641047,83,3,2636.2110523221636
310,18,2665.5555555555557,191,5,2709.678997846937
311,27,2640.890550645819,138,3,3150.4043126684637
312,26,2665.5555555555557,602,4,2612.0313047541176
313,30,2665.5555555555557,175,5,2636.2110523221636
314,26,2638.489122639254,897,4,2612.0313047541176
315,1,2646.150885296382,106,3,2636.2110523221636
316,14,2446.109123434705,118,4,2612.0313047541176
317,26,2398.090586145648,365,3,2612.0313047541176
318,14,2446.109123434705,289,4,2612.0313047541176
319,12,2446.109123434705,243,5,2636.2110523221636
320,11,2398.090586145648,724,6,2978.033472803347
321,12,2640.890550645819,209,3,2636.2110523221636
322,23,2665.537634408602,2,5,2636.2110523221636
323,14,2840.4328578455484,21,3,2636.2110523221636
324,30,2466.2982514021774,511,6,2709.678997846937
325,4,2416.7000572409847,442,3,2369.9654622741764
326,17,2398.090586145648,853,4,2612.0313047541176
327,15,2622.233325006245,471,3,2612.0313047541176
328,3,2493.746110765401,230,3,2612.0313047541176
329,13,2438.2272228320526,42,3,2369.9654622741764
330,28,2665.5555555555557,632,4,2709.678997846937
331,26,3153.6585365853657,264,3,2636.2110523221636
332,0,2640.890550645819,859,6,2978.033472803347
333,10,2595.1461988304095,265,5,2636.2110523221636
334,6,2904.1139240506327,63,5,2636.2110523221636
335,6,2438.2272228320526,132,4,2612.0313047541176
336,18,2398.090586145648,395,4,2464.689063616869
337,14,2622.233325006245,133,5,2636.2110523221636
338,28,2595.1461988304095,286,5,2636.2110523221636
339,0,2640.890550645819,939,3,2612.0313047541176
340,4,2622.233325006245,307,5,2636.2110523221636
341,0,2398.090586145648,741,3,2369.9654622741764
342,14,3153.6585365853657,671,4,2612.0313047541176
343,13,2502.5743977326406,250,5,2636.2110523221636
344,1,2622.233325006245,325,4,2612.0313047541176
345,1,2398.090586145648,860,5,2636.2110523221636
346,3,2665.537634408602,19,5,2636.2110523221636
347,25,2622.233325006245,260,4,2612.0313047541176
348,18,2416.7000572409847,625,3,2369.9654622741764
349,17,2438.2272228320526,151,4,2464.689063616869
350,15,2646.8089788732395,607,4,2369.9654622741764
351,29,2665.5555555555557,314,4,2709.678997846937
352,30,2638.489122639254,202,3,2612.0313047541176
353,1,2622.233325006245,262,5,2636.2110523221636
354,1,2595.1461988304095,223,4,2369.9654622741764
355,18,2503.2528856243443,221,6,2978.033472803347
356,1,2686.857476635514,246,6,2878.7259615384614
357,12,2540.491009681881,351,5,2636.2110523221636
358,26,2503.2528856243443,698,6,2878.7259615384614
359,27,2438.2272228320526,44,4,2636.2110523221636
360,4,2640.890550645819,716,4,2612.0313047541176
361,21,2398.090586145648,813,3,2612.0313047541176
362,11,2904.1139240506327,48,4,2612.0313047541176
363,30,2595.1461988304095,218,4,2369.9654622741764
364,30,2466.2982514021774,896,5,2636.2110523221636
365,27,2638.489122639254,280,4,2612.0313047541176
366,20,2502.5743977326406,516,4,2612.0313047541176
367,23,2503.2528856243443,320,4,2369.9654622741764
368,21,2503.2528856243443,340,4,2369.9654622741764
369,3,2540.491009681881,471,6,2878.7259615384614
370,28,2438.2272228320526,534,2,2636.2110523221636
371,29,2686.857476635514,118,5,2636.2110523221636
372,4,2503.2528856243443,339,5,2636.2110523221636
373,30,2484.2657342657344,35,3,2444.223985890653
374,24,2638.489122639254,367,4,2612.0313047541176
375,23,2638.489122639254,364,5,2636.2110523221636
376,7,2665.537634408602,12,5,2444.223985890653
377,20,2595.1461988304095,288,4,2612.0313047541176
378,18,2595.1461988304095,278,5,2636.2110523221636
379,19,2904.1139240506327,2,5,2636.2110523221636
380,10,2484.2657342657344,44,3,2444.223985890653
381,18,2438.2272228320526,127,3,2369.9654622741764
382,25,2622.233325006245,443,4,2612.0313047541176
383,12,2665.5555555555557,202,5,2636.2110523221636
384,23,2466.2982514021774,586,5,2636.2110523221636
385,24,2438.2272228320526,74,3,2636.2110523221636
386,26,2640.890550645819,156,4,2612.0313047541176
387,21,2466.2982514021774,132,3,2369.9654622741764
388,5,2416.7000572409847,332,3,2369.9654622741764
389,10,2646.8089788732395,442,4,2369.9654622741764
390,1,2622.233325006245,203,5,2636.2110523221636
391,20,2622.233325006245,183,5,2636.2110523221636
392,10,2416.7000572409847,619,4,2612.0313047541176
393,22,2503.2528856243443,233,5,3138.3928571428573
394,24,2867.0494084899096,25,4,2636.2110523221636
395,3,2502.5743977326406,212,4,2612.0313047541176
396,11,2622.233325006245,180,2,2612.0313047541176
397,29,2398.090586145648,245,4,2464.689063616869
398,1,2640.890550645819,481,3,2369.9654622741764
399,29,2446.109123434705,366,6,2978.033472803347
400,12,2646.8089788732395,414,5,2636.2110523221636
401,23,3153.6585365853657,232,4,2636.2110523221636
402,17,2516.6805151641047,120,4,2369.9654622741764
403,15,2904.1139240506327,66,5,2444.223985890653
404,18,2904.1139240506327,63,3,2369.9654622741764
405,12,2502.5743977326406,816,4,2612.0313047541176
406,24,2503.2528856243443,984,5,2636.2110523221636
407,13,2503.2528856243443,569,4,2612.0313047541176
408,5,2493.746110765401,545,5,2636.2110523221636
409,17,2638.489122639254,154,5,2636.2110523221636
410,6,2438.2272228320526,403,4,2369.9654622741764
411,3,2502.5743977326406,408,4,2612.0313047541176
412,3,2622.233325006245,259,4,2439.140271493213
413,5,2904.1139240506327,11,4,2612.0313047541176
414,22,2622.233325006245,295,5,2636.2110523221636
415,1,2516.6805151641047,142,4,2612.0313047541176
416,15,2840.4328578455484,21,3,2636.2110523221636
417,17,2622.233325006245,404,5,2709.678997846937
418,15,2438.2272228320526,214,3,2369.9654622741764
419,19,2665.5555555555557,163,4,2709.678997846937
420,8,2446.109123434705,228,3,2369.9654622741764
421,14,2840.4328578455484,51,5,2636.2110523221636
422,25,2540.491009681881,354,6,2878.7259615384614
423,11,2466.2982514021774,801,5,2636.2110523221636
424,12,2646.8089788732395,729,3,2369.9654622741764
425,22,2622.233325006245,207,4,2612.0313047541176
426,17,2622.233325006245,405,4,2709.678997846937
427,4,2398.090586145648,645,4,2369.9654622741764
428,9,2665.5555555555557,613,4,2612.0313047541176
429,29,2638.489122639254,264,3,2612.0313047541176
430,18,2416.7000572409847,466,3,2369.9654622741764
431,6,3153.6585365853657,263,3,2636.2110523221636
432,0,2622.233325006245,312,6,2709.678997846937
433,17,2840.4328578455484,169,3,2636.2110523221636
434,12,2640.890550645819,852,5,2636.2110523221636
435,21,2904.1139240506327,36,3,2444.223985890653
436,30,2398.090586145648,724,6,2978.033472803347
437,15,2665.5555555555557,638,5,2709.678997846937
438,29,2646.8089788732395,326,3,2369.9654622741764
439,30,2638.489122639254,491,5,2636.2110523221636
440,17,2416.7000572409847,126,3,2369.9654622741764
441,9,2665.537634408602,10,4,2612.0313047541176
442,17,2503.2528856243443,328,3,2369.9654622741764
443,24,2438.2272228320526,27,3,2636.2110523221636
444,28,2438.2272228320526,81,4,2369.9654622741764
445,12,2622.233325006245,157,5,2709.678997846937
446,14,2638.489122639254,267,3,2612.0313047541176
447,1,2484.2657342657344,333,6,2978.033472803347
448,5,2665.5555555555557,195,4,2709.678997846937
449,19,2516.6805151641047,79,4,2612.0313047541176
450,27,2446.109123434705,639,5,2636.2110523221636
451,1,3153.6585365853657,10,2,2636.2110523221636
452,3,2516.6805151641047,25,3,2636.2110523221636
453,18,2516.6805151641047,142,4,2612.0313047541176
454,5,2686.857476635514,551,5,2636.2110523221636
455,9,2398.090586145648,296,4,2612.0313047541176
456,5,2640.890550645819,662,4,2612.0313047541176
457,6,2502.5743977326406,540,5,2636.2110523221636
458,14,2646.8089788732395,358,4,2369.9654622741764
459,13,2595.1461988304095,218,4,2369.9654622741764
460,9,2640.890550645819,516,3,2612.0313047541176
461,4,2904.1139240506327,138,3,2636.2110523221636
462,28,3153.6585365853657,232,4,2636.2110523221636
463,0,2446.109123434705,160,3,2612.0313047541176
464,1,2622.233325006245,306,5,2636.2110523221636
465,22,2867.0494084899096,407,3,2464.689063616869
466,26,2503.2528856243443,926,5,2636.2110523221636
467,0,2904.1139240506327,38,3,2444.223985890653
468,21,2502.5743977326406,286,4,2612.0313047541176
469,0,2585.947712418301,33,3,2636.2110523221636
470,20,2686.857476635514,120,6,2978.033472803347
471,25,2638.489122639254,231,5,2636.2110523221636
472,29,2438.2272228320526,23,3,2369.9654622741764
473,22,2646.150885296382,223,3,2369.9654622741764
474,22,2665.5555555555557,199,5,2636.2110523221636
475,3,2416.7000572409847,510,2,2636.2110523221636
476,11,2640.890550645819,518,3,2612.0313047541176
477,24,2686.857476635514,716,6,2878.7259615384614
478,0,2646.8089788732395,708,4,2369.9654622741764
479,27,2595.1461988304095,280,4,2439.140271493213
480,1,2438.2272228320526,35,4,2636.2110523221636
481,16,2638.489122639254,270,3,2612.0313047541176
482,23,2638.489122639254,363,4,2612.0313047541176
483,5,2416.7000572409847,218,3,2369.9654622741764
484,6,2638.489122639254,498,4,2709.678997846937
485,10,2640.890550645819,452,5,2612.0313047541176
486,14,2438.2272228320526,71,3,2369.9654622741764
487,30,2840.4328578455484,51,4,2612.0313047541176
488,11,2416.7000572409847,506,3,2369.9654622741764
489,17,2502.5743977326406,686,5,2636.2110523221636
490,15,2438.2272228320526,95,4,2369.9654622741764
491,5,2646.8089788732395,612,4,2612.0313047541176
492,20,2502.5743977326406,439,4,2612.0313047541176
493,0,2466.2982514021774,878,4,2612.0313047541176
494,7,2686.857476635514,524,4,2612.0313047541176
495,22,2867.0494084899096,223,5,2636.2110523221636
496,1,2646.8089788732395,306,3,2369.9654622741764
497,22,2640.890550645819,202,5,2444.223985890653
498,20,2466.2982514021774,607,5,2636.2110523221636
499,21,2446.109123434705,229,3,2369.9654622741764
500,15,2686.857476635514,556,5,2636.2110523221636
501,15,2398.090586145648,874,5,2636.2110523221636
502,22,2665.5555555555557,274,5,2709.678997846937
503,1,2438.2272228320526,116,3,2369.9654622741764
504,15,2638.489122639254,493,5,2636.2110523221636
505,0,2622.233325006245,273,4,2709.678997846937
506,24,2665.5555555555557,201,5,2636.2110523221636
507,6,2622.233325006245,157,5,2709.678997846937
508,0,2446.109123434705,239,3,2369.9654622741764
509,11,2438.2272228320526,606,3,2369.9654622741764
510,28,2665.5555555555557,105,5,2636.2110523221636
511,11,2622.233325006245,301,5,2636.2110523221636
512,29,2540.491009681881,490,4,2612.0313047541176
513,14,2446.109123434705,135,3,2369.9654622741764
514,5,2516.6805151641047,113,3,2636.2110523221636
515,9,2840.4328578455484,158,3,2636.2110523221636
516,21,2640.890550645819,183,4,2612.0313047541176
517,5,2646.8089788732395,309,3,2369.9654622741764
518,6,2416.7000572409847,112,3,2369.9654622741764
519,3,2446.109123434705,628,6,2878.7259615384614
520,15,2638.489122639254,870,5,2636.2110523221636
521,23,2446.109123434705,289,5,2636.2110523221636
522,4,2540.491009681881,466,5,2709.678997846937
523,26,2585.947712418301,63,4,2636.2110523221636
524,26,2686.857476635514,561,5,2636.2110523221636
525,7,2466.2982514021774,896,5,2636.2110523221636
526,17,2622.233325006245,144,4,2612.0313047541176
527,22,2398.090586145648,408,4,2464.689063616869
528,29,2438.2272228320526,50,4,2369.9654622741764
529,10,2622.233325006245,123,5,2636.2110523221636
530,29,2640.890550645819,612,5,2709.678997846937
531,13,2438.2272228320526,22,3,2369.9654622741764
532,26,2502.5743977326406,248,5,2636.2110523221636
533,29,2416.7000572409847,129,3,2369.9654622741764
534,22,2466.2982514021774,682,4,2709.678997846937
535,1,2640.890550645819,263,5,2636.2110523221636
536,1,2638.489122639254,211,3,2369.9654622741764
537,26,2640.890550645819,678,5,2709.678997846937
538,30,2904.1139240506327,9,5,2636.2110523221636
539,14,2438.2272228320526,78,4,2369.9654622741764
540,14,2646.8089788732395,701,3,2369.9654622741764
541,12,2398.090586145648,239,3,2369.9654622741764
542,27,2416.7000572409847,461,3,2369.9654622741764
543,26,3153.6585365853657,633,4,2612.0313047541176
544,29,2646.8089788732395,324,4,2369.9654622741764
545,20,2503.2528856243443,446,6,2978.033472803347
546,29,2438.2272228320526,95,4,2369.9654622741764
547,10,2665.537634408602,3,3,2636.2110523221636
548,10,2622.233325006245,155,5,2636.2110523221636
