rent_approval_date,town,block,flat_type,flat_model,floor_area_sqm,lease_commence_date,latitude,longitude,subzone,region,monthly_rent
4,2640.890550645819,942,4,7,105.0,23,1.34372,103.689377,151,4,1600
25,2503.2528856243443,475,4,4,92.0,48,1.375183,103.900406,57,3,4000
1,2516.6805151641047,26,3,5,67.0,5,1.332918,103.856763,72,0,1700
12,2622.233325006245,228,5,5,115.0,34,1.387732,103.900634,105,3,2200
11,2638.489122639254,353,4,7,107.0,30,1.354513,103.963029,117,1,1800
3,2398.090586145648,853,4,7,105.0,22,1.416451,103.836741,147,2,2500
1,2686.857476635514,267,6,3,144.0,28,1.365942,103.963476,91,1,2850
1,2540.491009681881,417,4,7,90.0,35,1.451998,103.819476,104,2,1750
6,2640.890550645819,621,4,9,90.0,34,1.340946,103.699525,61,4,1600
0,2502.5743977326406,484,4,9,90.0,33,1.376685,103.736818,95,4,2000
8,2502.5743977326406,458,6,11,142.0,34,1.378101,103.736002,95,4,1800
29,2640.890550645819,842,6,3,147.0,27,1.344479,103.693479,151,4,4500
28,2640.890550645819,637,5,5,110.0,38,1.341567,103.69797,61,4,4200
6,2438.2272228320526,33,3,10,73.0,12,1.322837,103.939125,10,1,2200
4,2516.6805151641047,203,3,5,65.0,16,1.342053,103.849396,17,0,1900
21,2516.6805151641047,23,3,5,67.0,4,1.334556,103.857191,94,0,2000
17,2398.090586145648,456,4,7,93.0,47,1.420369,103.844404,146,2,2600
11,2484.2657342657344,31,4,10,92.0,19,1.329682,103.885408,79,0,2100
16,2646.8089788732395,205,4,10,91.0,18,1.32106,103.762435,34,4,2750
28,2686.857476635514,714,6,3,146.0,30,1.382647,103.937557,92,1,3350
9,2904.1139240506327,69,4,10,92.0,12,1.275583,103.810314,123,0,2850
4,2416.7000572409847,422,3,10,73.0,13,1.368,103.851874,31,3,2100
7,2516.6805151641047,193,4,5,84.0,8,1.33159,103.851295,128,0,2300
5,2503.2528856243443,470,3,7,67.0,49,1.378931,103.900988,57,3,2050
23,2466.2982514021774,690,4,11,90.0,38,1.442165,103.808041,140,2,3800
22,2438.2272228320526,69,3,10,67.0,12,1.31935,103.943632,10,1,3000
21,2638.489122639254,725,4,7,100.0,31,1.356985,103.935335,118,1,3150
1,2638.489122639254,406,3,14,64.0,20,1.357829,103.945793,117,1,1850
15,2503.2528856243443,923,5,5,120.0,32,1.376129,103.882895,132,3,2500
4,2416.7000572409847,425,3,10,73.0,13,1.369122,103.851616,31,3,2200
28,2466.2982514021774,586,5,5,111.0,35,1.428614,103.794718,141,2,3450
24,2904.1139240506327,6,4,7,91.0,39,1.286546,103.830824,126,0,3250
5,2840.4328578455484,83,5,5,125.0,31,1.294643,103.808264,80,0,3250
23,2638.489122639254,716,4,7,99.0,31,1.35939,103.936633,118,1,2400
23,2904.1139240506327,102,3,7,73.0,18,1.271767,103.826622,124,0,2400
21,2466.2982514021774,693,2,7,47.0,52,1.438506,103.804251,140,2,2750
15,2502.5743977326406,681,4,11,105.0,33,1.403043,103.74559,143,4,1600
8,2540.491009681881,340,5,11,110.0,35,1.447534,103.817892,102,2,2100
11,2398.090586145648,805,4,14,84.0,21,1.417427,103.831589,71,2,2950
9,2516.6805151641047,18,4,7,102.0,18,1.336849,103.881142,60,0,2500
29,2665.555555555556,305,4,11,93.0,46,1.405079,103.906706,98,3,3800
30,2622.233325006245,245,5,5,116.0,34,1.392962,103.899291,105,3,3700
17,2398.090586145648,232,4,10,98.0,19,1.4346,103.837409,88,2,2200
1,2438.2272228320526,19,3,5,65.0,6,1.327234,103.922217,70,1,2300
9,2416.7000572409847,612,4,10,91.0,14,1.378908,103.838603,144,3,2300
8,2867.0494084899096,117,5,5,121.0,21,1.347017,103.849987,13,0,2750
10,2646.8089788732395,508,3,10,67.0,12,1.31166,103.761761,33,4,1600
27,2398.090586145648,741,4,10,93.0,19,1.4301,103.833118,148,2,3700
1,2622.233325006245,131,4,9,90.0,33,1.389344,103.903082,100,3,2500
5,2466.2982514021774,556,5,5,120.0,33,1.432928,103.796013,141,2,1750
5,2438.2272228320526,59,3,7,76.0,18,1.324889,103.920247,70,1,2000
23,2398.090586145648,217,4,10,93.0,19,1.432623,103.836319,88,2,3150
0,2640.890550645819,661,5,5,110.0,35,1.336077,103.70505,61,4,2950
26,2640.890550645819,719,6,6,145.0,26,1.344537,103.696986,151,4,2200
17,2516.6805151641047,147,4,7,91.0,40,1.334547,103.845078,128,0,3700
1,2622.233325006245,441,3,7,69.0,46,1.391098,103.875166,45,3,1200
17,2416.7000572409847,172,2,5,45.0,20,1.374694,103.836463,69,3,2200
9,2438.2272228320526,504,3,5,59.0,12,1.33188,103.932389,8,1,1900
23,2516.6805151641047,105,3,7,74.0,18,1.334415,103.868694,96,0,2400
7,2438.2272228320526,183,4,7,85.0,39,1.326437,103.941851,8,1,2200
23,2416.7000572409847,523,3,10,68.0,14,1.372942,103.852866,26,3,3250
8,2503.2528856243443,678,3,14,64.0,22,1.370881,103.884051,58,3,1250
4,2638.489122639254,271,3,7,75.0,18,1.349808,103.949578,117,1,2150
30,2595.146198830409,20,4,7,92.0,47,1.323784,103.738518,121,4,3450
11,2398.090586145648,770,5,5,122.0,20,1.424486,103.832251,148,2,2850
1,2484.2657342657344,28,4,7,106.0,31,1.330481,103.886579,79,0,2400
1,2493.746110765401,616,4,9,85.0,36,1.384822,103.761182,106,4,2200
15,2516.6805151641047,203,3,5,65.0,16,1.342053,103.849396,17,0,2000
28,2516.6805151641047,205,3,5,65.0,7,1.342275,103.84805,129,0,2600
5,2502.5743977326406,543,4,7,104.0,28,1.394026,103.744121,30,4,1850
11,2622.233325006245,267,5,11,110.0,40,1.382952,103.897863,38,3,2200
12,2416.7000572409847,705,3,10,68.0,15,1.370437,103.847516,5,3,2300
3,2466.2982514021774,687,5,11,115.0,37,1.441004,103.807223,140,2,2500
30,2646.150885296382,220,4,10,96.0,18,1.358741,103.872227,108,3,4100
11,2646.8089788732395,355,5,15,117.0,12,1.314451,103.769564,34,4,2100
4,2516.6805151641047,18,3,5,67.0,4,1.335757,103.85679,94,0,1600
30,2640.890550645819,925,4,7,103.0,22,1.34015,103.689146,151,4,4000
1,2638.489122639254,915,3,7,73.0,18,1.348606,103.939564,118,1,1700
14,2665.537634408602,54,5,15,117.0,8,1.323884,103.867865,47,0,2400
19,2904.1139240506327,125,5,7,132.0,30,1.285057,103.823812,52,0,3800
11,2640.890550645819,176,3,5,59.0,12,1.347251,103.710014,15,4,2850
20,3153.6585365853657,662,4,5,82.0,16,1.306171,103.850106,44,0,4200
20,2446.109123434705,370,4,14,84.0,19,1.359984,103.749882,55,4,3800
7,2466.2982514021774,886,3,11,67.0,49,1.437731,103.794136,85,2,2500
8,2438.2272228320526,126,3,10,82.0,12,1.328168,103.938918,8,1,2000
27,2622.233325006245,298,5,11,114.0,35,1.395817,103.90093,105,3,2100
4,2398.090586145648,504,4,7,93.0,50,1.417967,103.843459,78,2,2750
25,2398.090586145648,774,3,14,64.0,21,1.423529,103.831872,148,2,3350
14,2640.890550645819,438,3,7,74.0,18,1.35141,103.723601,54,4,1800
9,2904.1139240506327,56,4,10,91.0,10,1.274253,103.812429,123,0,2200
29,2438.2272228320526,71,3,10,67.0,12,1.320416,103.942732,10,1,1800
3,2502.5743977326406,472,4,7,100.0,33,1.379085,103.737542,95,4,1900
12,2416.7000572409847,308,3,7,70.0,46,1.365266,103.844538,131,3,1950
27,2516.6805151641047,50,5,5,124.0,27,1.337177,103.852543,16,0,3700
28,2438.2272228320526,506,5,5,119.0,12,1.332143,103.93372,8,1,2200
21,2503.2528856243443,129,4,7,106.0,19,1.351518,103.887578,115,3,2750
1,2904.1139240506327,18,3,7,60.0,36,1.273901,103.839417,42,0,2500
10,2595.146198830409,62,4,7,90.0,37,1.321499,103.738982,121,4,1900
11,2640.890550645819,209,3,5,65.0,10,1.346258,103.715155,15,4,2300
22,2502.5743977326406,503,5,5,127.0,29,1.388305,103.742323,30,4,3800
20,2416.7000572409847,326,4,10,92.0,11,1.367069,103.847902,131,3,3450
29,2640.890550645819,347,4,7,101.0,31,1.340499,103.720198,116,4,3150
26,2516.6805151641047,17,4,7,103.0,17,1.336222,103.881103,60,0,3700
26,2416.7000572409847,421,3,10,74.0,13,1.365384,103.852967,31,3,2600
17,2622.233325006245,266,4,11,92.0,41,1.382579,103.897225,38,3,2400
0,2438.2272228320526,72,5,15,123.0,12,1.320367,103.943668,10,1,2300
1,2904.1139240506327,43,3,5,59.0,10,1.27038,103.823236,124,0,1900
21,2665.555555555556,197,5,5,110.0,37,1.399774,103.90685,97,3,3150
4,2638.489122639254,106,4,7,103.0,18,1.347539,103.947675,117,1,2400
8,2638.489122639254,907,3,7,73.0,18,1.350612,103.939397,118,1,2300
13,2416.7000572409847,470,4,10,92.0,13,1.364086,103.856692,31,3,2300
11,2867.0494084899096,177,5,5,121.0,21,1.347846,103.85355,13,0,2550
18,2503.2528856243443,709,3,10,67.0,19,1.367061,103.888077,73,3,1600
1,2640.890550645819,838,5,5,122.0,23,1.343849,103.693508,151,4,1900
7,2665.537634408602,55,5,15,120.0,8,1.324085,103.868591,47,0,2500
21,2904.1139240506327,44,3,5,76.0,10,1.271409,103.810888,123,0,3350
12,2466.2982514021774,539,5,5,121.0,34,1.429077,103.792256,141,2,2200
17,2622.233325006245,318,4,11,92.0,37,1.393334,103.889,4,3,1900
23,2466.2982514021774,879,5,5,121.0,30,1.44493,103.792274,85,2,3700
29,2516.6805151641047,153,5,5,121.0,33,1.333714,103.845233,128,0,4700
0,2446.109123434705,226,3,10,67.0,18,1.348733,103.753174,20,4,1750
6,2398.090586145648,798,5,5,123.0,20,1.418826,103.833376,71,2,2100
14,2646.8089788732395,520,3,10,67.0,20,1.307148,103.759628,35,4,1800
15,2840.4328578455484,23,4,5,88.0,10,1.307436,103.783629,41,0,2500
0,2493.746110765401,505,4,7,100.0,32,1.384542,103.767684,101,4,1900
18,2438.2272228320526,42,4,5,84.0,11,1.321478,103.940721,10,1,2850
0,2416.7000572409847,254,4,10,97.0,11,1.370203,103.834688,110,3,1950
22,2867.0494084899096,201,6,6,149.0,26,1.355067,103.846946,82,0,3250
25,2503.2528856243443,911,4,9,93.0,32,1.378937,103.883857,132,3,3250
0,2466.2982514021774,557,4,7,101.0,33,1.432722,103.796846,141,2,1600
21,2503.2528856243443,239,4,7,104.0,18,1.355973,103.890478,77,3,3450
11,2638.489122639254,147,6,6,150.0,19,1.349232,103.942181,117,1,2850
28,2904.1139240506327,109,5,5,116.0,40,1.280958,103.80944,40,0,4200
26,2867.0494084899096,226,5,7,135.0,26,1.358546,103.847127,82,0,3150
1,2867.0494084899096,408,5,5,120.0,20,1.363347,103.83484,135,0,2300
0,2638.489122639254,157,3,10,82.0,19,1.351073,103.945004,117,1,1850
24,2516.6805151641047,147,4,7,91.0,40,1.334547,103.845078,128,0,4200
6,2640.890550645819,490,4,7,103.0,18,1.349587,103.72724,54,4,2100
15,2904.1139240506327,69,4,7,100.0,35,1.287017,103.816375,99,0,2200
22,2904.1139240506327,112,5,5,115.0,40,1.281569,103.807732,40,0,3800
15,2438.2272228320526,708,4,10,91.0,14,1.335036,103.919312,9,1,2250
13,2398.090586145648,402,3,7,74.0,23,1.42655,103.847265,146,2,1600
29,2446.109123434705,507,3,5,60.0,21,1.352221,103.75398,51,4,2500
17,2646.8089788732395,450,3,10,68.0,14,1.313448,103.765484,33,4,3150
11,2686.857476635514,702,4,7,114.0,30,1.380232,103.937566,92,1,2000
6,2638.489122639254,151,5,5,122.0,22,1.345755,103.957269,111,1,2400
7,2398.090586145648,775,5,5,121.0,20,1.422532,103.832186,71,2,2250
10,2638.489122639254,383,5,5,126.0,27,1.354098,103.958267,117,1,2100
7,2595.146198830409,210,3,10,67.0,17,1.338895,103.738555,149,4,1900
14,2466.2982514021774,202,3,10,68.0,15,1.443151,103.775165,87,2,1600
1,2398.090586145648,232,4,10,98.0,19,1.4346,103.837409,88,2,2000
25,2446.109123434705,164,3,7,73.0,18,1.347717,103.742832,23,4,2000
29,2502.5743977326406,110,3,7,73.0,23,1.378214,103.751983,122,4,3150
18,2416.7000572409847,112,3,10,74.0,12,1.371279,103.835767,69,3,2700
4,2646.8089788732395,441,4,7,93.0,46,1.314896,103.764423,33,4,3450
17,2466.2982514021774,825,4,14,84.0,24,1.438831,103.789589,85,2,2750
21,2840.4328578455484,160,4,5,85.0,4,1.292097,103.80423,84,0,3150
11,2646.150885296382,236,4,14,84.0,19,1.35424,103.869822,107,3,2350
0,2502.5743977326406,286,4,7,104.0,27,1.379611,103.741538,68,4,2100
23,2622.233325006245,105,4,7,104.0,33,1.382156,103.900712,100,3,2750
13,2398.090586145648,234,3,10,67.0,19,1.434354,103.83792,88,2,2100
22,2646.8089788732395,345,3,10,67.0,13,1.317703,103.769077,34,4,2950
29,2502.5743977326406,220,5,5,122.0,24,1.381931,103.745583,29,4,3450
26,2638.489122639254,347,4,7,107.0,30,1.35188,103.963114,117,1,4000
26,2646.8089788732395,103,4,10,98.0,18,1.322589,103.769176,113,4,2950
17,2638.489122639254,326,6,6,147.0,29,1.352629,103.958645,117,1,2850
9,2595.146198830409,210,3,10,67.0,17,1.338895,103.738555,149,4,1350
23,2638.489122639254,230,5,5,127.0,27,1.355428,103.951447,117,1,4000
12,2640.890550645819,138,3,4,67.0,48,1.328438,103.723796,116,4,3050
11,2516.6805151641047,174,3,5,65.0,6,1.330672,103.841918,128,0,2200
7,2438.2272228320526,181,4,7,92.0,40,1.326686,103.941272,8,1,2400
11,2438.2272228320526,221,4,7,94.0,44,1.324999,103.934234,8,1,2850
12,2484.2657342657344,39,3,15,57.0,5,1.32743,103.885682,79,0,1950
10,2416.7000572409847,322,4,10,98.0,11,1.368359,103.847746,131,3,2700
25,2398.090586145648,146,3,10,67.0,19,1.431002,103.832468,148,2,1800
29,2466.2982514021774,582,5,5,110.0,35,1.43014,103.795835,141,2,2200
0,2646.150885296382,209,3,14,64.0,19,1.354449,103.874262,107,3,2150
20,2416.7000572409847,610,3,10,68.0,14,1.379395,103.839157,144,3,2600
13,2398.090586145648,310,5,7,136.0,29,1.431869,103.841242,146,2,2200
15,2638.489122639254,726,5,5,124.0,31,1.356984,103.935887,118,1,2300
1,2502.5743977326406,687,5,5,110.0,37,1.403686,103.751581,143,4,1900
3,2503.2528856243443,456,4,7,104.0,26,1.377171,103.895401,57,3,2100
3,2438.2272228320526,623,4,10,91.0,15,1.333658,103.916805,62,1,1950
5,2665.555555555556,633,4,11,93.0,41,1.40137,103.913192,137,3,1900
1,2646.8089788732395,435,3,10,82.0,12,1.314562,103.76253,33,4,1950
19,2466.2982514021774,809,4,7,106.0,29,1.44302,103.787916,85,2,2350
28,2638.489122639254,459,4,14,88.0,21,1.358365,103.954081,117,1,3700
28,2904.1139240506327,11,4,7,90.0,36,1.274426,103.839672,42,0,4200
5,2622.233325006245,188,4,7,95.0,34,1.395222,103.904809,100,3,1900
14,2686.857476635514,251,6,3,145.0,27,1.370264,103.96241,91,1,2500
11,2646.8089788732395,339,3,10,67.0,13,1.319663,103.76914,34,4,1900
30,2840.4328578455484,170,3,5,60.0,4,1.290911,103.803121,84,0,2100
3,2438.2272228320526,516,5,5,119.0,13,1.33106,103.930041,8,1,2350
12,2438.2272228320526,37,4,5,84.0,11,1.321907,103.939847,10,1,1900
14,2640.890550645819,628,6,3,130.0,35,1.342204,103.699448,61,4,3800
0,2446.109123434705,388,5,5,118.0,39,1.36485,103.752162,50,4,2500
8,2665.537634408602,3,3,5,68.0,13,1.294801,103.854467,32,0,2500
30,2493.746110765401,529,5,5,121.0,33,1.385923,103.764614,101,4,3700
25,2416.7000572409847,432,3,10,67.0,13,1.36831,103.8536,31,3,2800
6,2640.890550645819,274,6,3,126.0,36,1.352866,103.70328,138,4,2350
9,2466.2982514021774,787,4,7,100.0,31,1.444868,103.801174,140,2,2600
16,2484.2657342657344,53,3,5,65.0,15,1.317824,103.880078,2,0,1800
30,2398.090586145648,766,4,14,84.0,19,1.424702,103.83395,148,2,3900
5,2904.1139240506327,2,4,7,100.0,35,1.28653,103.833163,126,0,3150
3,2640.890550645819,847,5,7,132.0,30,1.345372,103.69187,151,4,1900
23,2904.1139240506327,10,4,7,87.0,50,1.286337,103.829205,126,0,3800
3,2646.8089788732395,342,5,5,121.0,13,1.318363,103.769846,34,4,3150
30,2646.8089788732395,428,3,10,67.0,12,1.312512,103.763269,33,4,4100
1,2665.537634408602,13,5,5,123.0,33,1.314481,103.870458,14,0,3100
6,2640.890550645819,673,4,7,91.0,36,1.344398,103.701664,61,4,2300
25,2416.7000572409847,463,3,10,68.0,14,1.366948,103.857488,31,3,2950
30,2904.1139240506327,90,4,7,93.0,52,1.277284,103.806916,123,0,4700
17,2640.890550645819,677,5,11,110.0,42,1.34563,103.705038,61,4,3900
12,2398.090586145648,807,3,14,64.0,20,1.416499,103.831578,71,2,1800
19,2466.2982514021774,521,6,11,146.0,34,1.433716,103.793326,141,2,2600
0,2638.489122639254,702,4,7,100.0,31,1.356173,103.93748,118,1,1900
12,2416.7000572409847,321,3,10,73.0,11,1.365141,103.848704,131,3,2850
26,2904.1139240506327,28,3,15,58.0,3,1.287899,103.828204,24,0,2600
27,2503.2528856243443,692,4,14,89.0,21,1.376647,103.886772,58,3,3350
29,2502.5743977326406,676,5,11,124.0,33,1.402001,103.746685,143,4,2200
29,2438.2272228320526,615,3,10,82.0,15,1.33225,103.915869,62,1,1700
9,2466.2982514021774,520,5,11,124.0,34,1.434174,103.792397,141,2,1900
22,2638.489122639254,168,5,4,111.0,45,1.342859,103.958259,111,1,4000
14,2840.4328578455484,181,4,7,95.0,34,1.294382,103.80556,84,0,3200
5,2516.6805151641047,105,3,7,74.0,18,1.334415,103.868694,96,0,2200
6,2904.1139240506327,51,5,5,122.0,20,1.287613,103.812272,1,0,2500
26,2516.6805151641047,125,3,5,67.0,4,1.338331,103.845737,129,0,1050
23,2904.1139240506327,69,4,7,100.0,35,1.287017,103.816375,99,0,2600
8,2904.1139240506327,18,3,5,65.0,9,1.27791,103.822536,125,0,2100
1,2867.0494084899096,195,3,14,64.0,22,1.348362,103.850897,13,0,1950
10,2438.2272228320526,724,4,7,103.0,18,1.337144,103.928434,9,1,2100
6,2446.109123434705,173,4,10,98.0,18,1.346105,103.740826,23,4,2000
1,2640.890550645819,652,5,5,110.0,36,1.336642,103.69799,61,4,2100
30,2416.7000572409847,471,3,10,67.0,13,1.363466,103.856703,31,3,2300
3,2502.5743977326406,670,4,11,103.0,33,1.402978,103.747753,143,4,2100
19,2622.233325006245,313,4,11,92.0,37,1.391839,103.887996,4,3,2600
23,2622.233325006245,302,6,3,130.0,35,1.38808,103.890153,4,3,3800
10,2686.857476635514,516,5,5,128.0,27,1.374149,103.94354,90,1,2100
12,2646.8089788732395,711,3,10,67.0,14,1.304844,103.761107,35,4,1900
19,3153.6585365853657,532,3,5,60.0,14,1.284194,103.845986,27,0,2750
13,2416.7000572409847,602,4,10,91.0,14,1.380709,103.835368,144,3,2200
11,2416.7000572409847,109,3,10,67.0,12,1.370097,103.837688,69,3,2250
6,2622.233325006245,201,4,7,90.0,35,1.389001,103.892763,105,3,2300
7,2665.555555555556,112,5,11,113.0,37,1.396245,103.907087,97,3,1750
7,2585.947712418301,65,3,5,65.0,10,1.303405,103.909734,81,0,1800
16,2638.489122639254,146,6,6,150.0,19,1.348008,103.942814,117,1,2500
22,2640.890550645819,659,5,5,110.0,35,1.33685,103.702314,61,4,2850
1,2416.7000572409847,232,3,10,67.0,11,1.368346,103.837196,110,3,1850
19,2640.890550645819,988,5,11,110.0,42,1.335744,103.695777,151,4,2100
21,2622.233325006245,270,4,11,93.0,44,1.385752,103.894255,38,3,2600
28,2686.857476635514,250,6,3,149.0,27,1.370239,103.962894,91,1,3900
11,2686.857476635514,609,6,3,149.0,29,1.375487,103.942727,92,1,2400
8,2416.7000572409847,134,4,10,98.0,12,1.372077,103.841948,69,3,1250
23,2466.2982514021774,693,2,7,47.0,52,1.4381,103.80443,140,2,2550
13,2622.233325006245,148,5,5,122.0,33,1.390762,103.905196,100,3,2600
20,2665.537634408602,8,3,11,70.0,51,1.312344,103.869898,14,0,2950
1,2438.2272228320526,125,4,7,103.0,21,1.33296,103.909905,62,1,2100
27,2840.4328578455484,32,3,5,59.0,8,1.306185,103.796881,53,0,2950
28,2416.7000572409847,329,4,10,98.0,12,1.366599,103.846874,131,3,4200
3,2686.857476635514,478,4,7,105.0,26,1.374494,103.958958,91,1,2400
29,2516.6805151641047,139,3,7,74.0,18,1.333276,103.86611,96,0,3350
26,2516.6805151641047,83,3,5,67.0,5,1.335788,103.847992,128,0,3050
18,2665.555555555556,191,5,11,112.0,38,1.399513,103.909753,97,3,2000
27,2640.890550645819,138,3,4,67.0,48,1.32846,103.723288,116,4,3100
26,2665.555555555556,602,4,7,93.0,46,1.403481,103.907117,137,3,4000
30,2665.555555555556,175,5,5,110.0,37,1.398471,103.907769,97,3,3800
26,2638.489122639254,897,4,7,104.0,22,1.347526,103.935184,118,1,3250
1,2646.150885296382,106,3,5,70.0,18,1.370245,103.870823,108,3,2200
14,2446.109123434705,118,4,7,103.0,18,1.35001,103.7465,20,4,1700
26,2398.090586145648,365,3,7,74.0,23,1.429248,103.845192,146,2,3150
14,2446.109123434705,289,4,7,102.0,32,1.34421,103.759205,22,4,1800
12,2446.109123434705,243,5,5,121.0,19,1.34962,103.756432,21,4,2300
11,2398.090586145648,724,6,6,146.0,20,1.426475,103.829916,148,2,2550
12,2640.890550645819,209,3,5,65.0,10,1.346258,103.715155,15,4,1450
23,2665.537634408602,2,5,5,110.0,40,1.313614,103.871604,14,0,4500
14,2840.4328578455484,21,3,5,65.0,11,1.310103,103.788546,49,0,2750
30,2466.2982514021774,511,6,11,147.0,33,1.433453,103.788654,141,2,4200
4,2416.7000572409847,442,3,10,67.0,13,1.365692,103.855098,31,3,1900
17,2398.090586145648,853,4,7,105.0,22,1.416451,103.836741,147,2,2750
15,2622.233325006245,471,3,7,68.0,50,1.395953,103.881504,45,3,2600
3,2493.746110765401,230,3,7,73.0,22,1.376167,103.772207,7,4,1700
13,2438.2272228320526,42,3,10,67.0,19,1.327979,103.925805,70,1,2200
28,2665.555555555556,632,4,11,91.0,41,1.400843,103.913135,137,3,3700
26,3153.6585365853657,264,3,5,60.0,20,1.299009,103.852285,136,0,3300
0,2640.890550645819,859,6,6,146.0,31,1.34923,103.696101,151,4,2300
10,2595.146198830409,265,5,5,121.0,32,1.340708,103.744702,130,4,3450
6,2904.1139240506327,63,5,5,120.0,35,1.289075,103.815318,1,0,3400
6,2438.2272228320526,132,4,7,103.0,21,1.332795,103.911813,62,1,2150
18,2398.090586145648,395,4,14,84.0,22,1.428849,103.847221,146,2,2000
14,2622.233325006245,133,5,5,122.0,33,1.388643,103.903636,100,3,2750
28,2595.146198830409,286,5,5,123.0,33,1.339626,103.744469,130,4,3050
0,2640.890550645819,939,3,7,73.0,23,1.342952,103.689029,151,4,1650
4,2622.233325006245,307,5,5,110.0,35,1.389398,103.888043,4,3,2000
0,2398.090586145648,741,3,10,67.0,19,1.4301,103.833118,148,2,2000
14,3153.6585365853657,671,4,7,85.0,37,1.308821,103.852065,44,0,3150
13,2502.5743977326406,250,5,5,123.0,27,1.379309,103.745365,68,4,2850
1,2622.233325006245,325,4,7,90.0,37,1.393655,103.890915,4,3,2400
1,2398.090586145648,860,5,5,122.0,22,1.417823,103.839854,147,2,2300
3,2665.537634408602,19,5,5,105.0,38,1.327607,103.85986,6,0,2500
25,2622.233325006245,260,4,7,90.0,35,1.393141,103.895569,105,3,1600
18,2416.7000572409847,625,3,10,68.0,14,1.382199,103.841212,144,3,1700
17,2438.2272228320526,151,4,14,84.0,22,1.335576,103.911546,62,1,2950
15,2646.8089788732395,607,4,10,92.0,13,1.304236,103.767853,36,4,2200
