index,num_school_500m,nearest_school_dist
175,1,313.29
176,2,227.88
177,1,256.51
178,1,215.26
179,2,362.14
180,0,545.39
181,0,564.63
182,1,367.83
183,0,607.23
184,2,386.43
185,0,670.87
186,1,182.86
187,0,613.97
188,1,222.75
189,2,149.36
190,1,225.66
191,2,316.04
192,1,385.66
193,0,682.13
194,0,605.86
195,1,410.39
196,1,380.71
197,0,1049.19
198,2,131.19
199,1,260.58
200,0,621.75
201,1,344.9
202,2,143.34
203,1,382.46
204,0,536.0
205,0,636.82
206,1,208.53
207,0,533.2
208,2,99.72
209,1,234.43
210,1,82.43
211,1,183.02
212,0,731.9
213,1,337.14
214,1,380.71
215,2,317.43
216,0,1257.63
217,1,231.48
218,0,521.61
219,1,440.43
220,1,393.73
221,2,471.55
222,3,244.91
223,0,563.86
224,0,812.17
225,0,518.96
226,1,426.63
227,1,102.83
228,0,536.99
229,1,478.84
230,0,535.38
231,2,203.72
232,1,88.13
233,1,119.14
234,0,566.03
235,1,120.78
236,1,425.61
237,0,549.01
238,1,421.64
239,0,716.5
240,2,232.08
241,1,277.79
242,2,297.97
243,1,363.01
244,0,607.14
245,2,353.62
246,3,421.85
247,0,701.6
248,1,250.52
249,1,419.69
250,0,513.54
251,0,842.07
252,0,537.07
253,1,431.99
254,1,346.91
255,1,284.02
256,0,990.06
257,4,269.61
258,0,570.48
259,1,230.14
260,0,529.65
261,1,152.77
262,3,360.97
263,1,297.79
264,2,255.32
265,1,480.38
266,2,190.14
267,1,96.18
268,0,564.66
269,2,289.12
270,0,746.38
271,1,258.86
272,0,527.38
273,1,427.71
274,1,191.86
275,1,182.86
276,1,376.11
277,1,472.38
278,0,548.78
279,2,345.21
280,1,192.02
281,1,498.02
282,1,104.33
283,3,187.63
284,4,418.53
285,1,181.14
286,0,1060.53
287,0,1176.93
288,0,509.66
289,0,577.29
290,1,397.95
291,2,246.18
292,1,374.86
293,2,390.49
294,1,294.38
295,0,707.32
296,1,442.6
297,3,376.98
298,0,564.97
299,2,288.03
300,0,819.15
301,1,202.83
302,2,467.35
303,0,1165.32
304,1,241.64
305,0,810.89
306,2,467.57
307,1,312.29
308,1,261.01
309,1,196.23
310,3,221.34
311,0,1227.92
312,4,286.02
313,2,180.43
314,3,253.19
315,0,549.85
316,0,615.73
317,2,274.21
318,1,339.63
319,1,454.97
320,2,146.36
321,2,371.07
322,0,1142.84
323,0,870.31
324,3,192.5
325,2,460.45
326,1,228.77
327,0,779.55
328,2,423.31
329,0,648.94
330,3,146.9
331,0,633.82
332,0,542.82
333,1,462.68
334,1,387.78
335,1,217.72
336,2,182.66
337,3,182.28
338,0,514.3
339,2,128.07
340,2,145.61
341,3,339.98
342,1,420.11
343,2,281.03
344,2,157.56
345,2,205.69
346,0,695.9
347,1,498.66
348,1,230.56
349,0,508.32
350,0,1312.82
351,2,223.54
352,4,275.28
353,1,477.97
354,0,507.95
355,0,772.13
356,0,622.45
357,4,284.63
358,2,211.23
359,1,495.25
360,2,297.81
361,1,217.61
362,0,542.82
363,2,447.45
364,1,497.76
365,4,113.76
366,1,419.3
367,1,441.46
368,1,381.81
369,3,77.04
370,1,473.31
371,1,423.45
372,1,404.57
373,0,504.96
374,0,589.95
375,0,530.74
376,0,1608.38
377,1,473.0
378,0,629.21
379,0,820.93
380,1,432.54
381,0,503.56
382,2,98.64
383,1,408.12
384,1,458.6
385,0,661.29
386,0,1218.32
387,0,693.84
388,3,276.41
389,2,185.13
390,1,410.16
391,1,369.43
392,1,415.94
393,1,274.95
394,0,758.0
395,1,148.77
396,0,618.47
397,1,498.93
398,1,421.66
399,2,140.73
400,0,681.01
401,0,556.2
402,0,534.85
403,1,247.59
404,1,294.37
405,0,671.0
406,0,524.45
407,2,286.87
408,1,429.49
409,0,711.46
410,3,237.24
411,2,283.67
412,0,547.46
413,1,120.78
414,1,455.16
415,1,288.08
416,0,870.31
417,1,228.31
418,1,445.61
419,2,220.64
420,2,311.55
421,1,284.8
422,4,314.0
423,1,264.73
424,0,1127.84
425,1,299.85
426,2,166.51
427,1,278.22
428,4,311.28
429,4,184.62
430,0,679.08
431,0,596.62
432,1,270.01
433,0,756.95
434,0,768.59
435,2,441.62
436,2,146.36
437,3,195.16
438,2,226.08
439,0,667.14
440,0,911.68
441,0,817.77
442,1,335.93
443,1,360.25
444,0,663.11
445,0,583.67
446,4,152.48
447,1,271.97
448,3,164.71
449,1,374.48
450,1,418.74
451,0,883.85
452,1,450.93
453,1,276.68
454,1,235.67
455,2,329.23
456,1,341.79
457,2,214.91
458,1,334.06
459,2,447.45
460,2,262.03
461,2,434.23
462,0,556.2
463,1,118.38
464,2,118.35
465,1,345.62
466,1,146.38
467,1,443.9
468,1,208.53
469,1,443.13
470,1,371.54
471,0,654.66
472,0,556.46
473,1,308.5
474,1,208.29
475,1,329.22
476,2,191.26
477,0,708.64
478,0,1040.84
479,0,735.39
480,1,243.62
481,4,274.55
482,1,328.23
483,0,1025.66
484,0,566.31
485,0,538.67
486,1,437.86
487,1,284.8
488,1,397.03
489,1,220.75
490,1,106.61
491,0,1423.01
492,0,572.3
493,1,320.2
494,1,481.44
495,0,637.3
496,0,589.33
497,2,212.51
498,1,231.87
499,2,291.36
500,1,101.59
501,1,319.84
502,3,390.69
503,0,537.22
504,1,350.67
505,3,256.33
506,1,498.9
507,0,583.67
508,1,457.06
509,1,319.19
510,2,367.24
511,2,410.82
512,4,141.93
513,1,477.53
514,0,519.72
515,0,615.1
516,0,809.07
517,0,542.35
518,1,344.9
519,0,571.56
520,1,419.62
521,1,466.71
522,1,142.01
523,0,501.38
524,1,110.14
525,0,533.34
526,2,383.27
527,2,143.61
528,1,255.27
529,2,67.57
530,1,348.75
531,0,562.96
532,2,298.55
533,0,980.67
534,1,108.12
535,0,739.58
536,0,531.41
537,2,452.63
538,1,439.59
539,0,537.46
540,0,815.12
541,1,209.76
542,0,510.43
543,0,874.27
544,2,207.94
545,1,484.14
546,1,106.61
547,0,607.14
548,1,462.1
549,1,322.94
550,0,530.11
551,1,273.54
552,1,266.58
553,1,302.05
554,3,290.85
555,0,517.01
556,0,536.33
557,1,446.89
558,1,366.33
559,1,427.71
560,1,206.89
561,1,299.85
562,4,420.93
563,1,213.47
564,1,217.62
565,1,188.7
566,1,315.94
567,1,315.94
568,2,336.02
569,1,433.52
570,1,183.79
571,0,586.05
572,1,160.99
573,0,561.3
574,0,810.89
575,0,566.67
576,1,103.76
577,0,673.28
578,2,139.13
579,1,174.42
580,1,468.9
581,1,262.33
582,1,262.85
583,4,311.28
584,3,363.43
585,2,410.82
586,1,382.2
587,0,629.21
588,1,440.63
589,1,300.48
590,0,1247.32
591,1,254.83
592,2,280.34
593,1,264.49
594,1,412.98
595,2,323.0
596,1,312.7
597,0,566.59
598,1,290.12
599,1,253.42
600,1,154.13
601,1,363.0
602,1,419.75
603,1,375.9
604,2,168.07
605,0,576.71
606,3,114.49
607,0,597.72
608,2,295.51
609,0,993.9
610,1,191.92
611,2,274.12
612,1,217.05
613,1,241.7
614,0,656.6
615,1,218.16
616,1,148.77
617,0,916.13
618,0,678.26
619,2,385.36
620,2,177.23
621,2,472.18
622,1,374.41
623,2,366.53
624,1,290.16
625,1,155.34
626,0,636.03
627,3,163.09
628,0,780.56
629,0,878.21
630,1,325.77
631,1,212.08
632,1,312.73
633,2,356.14
634,2,96.13
635,1,217.4
636,0,628.93
637,1,410.2
638,0,770.23
639,2,156.7
640,0,504.22
641,2,456.32
642,1,131.75
643,0,596.54
644,3,178.34
645,1,226.83
646,0,505.74
647,1,314.2
648,0,548.17
649,1,160.29
650,0,531.41
651,2,211.34
652,0,504.28
653,0,550.85
654,1,388.02
655,1,174.42
656,0,518.96
657,1,436.81
658,3,221.18
659,2,438.1
660,0,711.46
661,0,718.6
662,1,371.61
663,1,117.67
664,0,545.05
665,1,459.28
666,0,542.35
667,0,980.67
668,1,474.74
669,0,629.21
670,1,488.97
671,0,767.1
672,1,302.05
673,0,509.37
674,0,584.84
675,1,374.86
676,1,284.69
677,1,194.34
678,1,380.47
679,1,210.94
680,0,557.92
681,1,441.74
682,2,232.35
683,1,187.06
684,2,392.95
685,0,862.34
686,1,86.86
687,0,638.2
688,1,406.45
689,1,435.28
690,0,549.44
691,0,756.95
692,0,694.88
693,1,252.89
694,2,221.95
695,1,188.38
696,3,217.97
697,0,600.86
698,1,356.73
699,1,218.33
700,0,729.98
701,2,319.97
702,0,645.84
703,3,221.3
704,0,576.09
705,1,127.09
706,4,460.82
707,0,1298.56
708,1,285.33
709,1,439.59
710,3,159.12
711,1,258.86
712,2,49.09
713,0,753.22
714,0,579.88
715,1,333.79
716,3,250.32
717,1,294.59
718,4,173.91
719,2,172.05
720,1,298.63
721,0,883.85
722,2,327.21
723,1,218.15
724,1,212.32
725,0,770.23
726,1,122.32
727,1,433.45
728,0,693.89
729,1,464.05
730,1,424.79
731,1,345.81
732,2,252.2
733,1,106.38
734,1,168.75
735,0,503.56
736,1,175.93
737,1,234.28
738,1,246.95
739,2,331.9
740,2,423.31
741,0,697.71
742,0,509.93
743,1,480.85
744,0,570.12
745,0,598.68
746,0,720.22
747,1,277.92
748,1,411.51
749,1,387.09
750,0,857.13
751,1,415.53
752,1,467.72
753,0,558.45
754,2,455.21
755,0,1076.23
756,1,406.2
757,2,437.87
758,3,334.46
759,1,392.61
760,1,429.36
761,1,265.41
762,1,228.32
763,1,387.65
764,3,280.54
765,1,484.58
766,2,326.26
767,2,281.04
768,1,316.57
769,0,572.72
770,0,538.92
771,1,492.91
772,1,328.73
773,4,175.92
774,1,227.98
775,0,1020.59
776,1,89.55
777,0,697.62
778,0,834.89
779,1,87.75
780,1,280.97
781,0,534.08
782,3,286.92
783,1,214.94
784,3,151.09
785,2,311.32
786,0,544.99
787,1,182.3
788,1,462.19
789,1,449.85
790,2,209.49
791,3,234.96
792,1,247.64
793,1,419.82
794,2,383.49
795,1,365.7
796,0,746.02
797,1,220.75
798,2,443.02
799,2,424.24
800,3,269.89
801,0,607.23
802,1,236.69
803,2,132.09
804,3,155.82
805,1,243.67
806,0,628.69
807,1,391.14
808,1,378.18
809,1,491.06
810,1,303.61
811,1,164.86
812,0,1243.39
813,2,120.14
814,3,159.23
815,2,184.13
816,3,225.07
817,2,362.88
818,1,421.86
819,0,549.37
820,0,595.08
821,3,175.1
822,0,663.84
823,0,591.79
824,1,305.68
825,1,265.05
826,3,201.61
827,1,257.87
828,0,619.39
829,1,225.77
830,1,313.35
831,0,684.05
832,1,345.62
833,1,463.11
834,1,314.54
835,1,270.01
836,1,287.03
837,1,208.12
838,0,935.64
839,2,317.43
840,0,1093.42
841,2,245.8
842,2,127.22
843,2,232.08
844,2,122.67
845,0,1166.14
846,0,1415.31
847,1,457.76
848,0,1729.67
849,2,265.64
850,0,788.04
851,3,185.7
852,0,796.33
853,1,247.39
854,1,164.92
855,0,577.79
856,1,413.27
857,4,326.72
858,1,437.86
859,1,436.43
860,1,462.19
861,0,999.04
862,1,456.94
863,3,189.53
864,0,510.29
865,0,528.73
866,2,252.2
867,1,338.08
868,4,182.62
869,2,262.03
870,0,508.21
871,1,454.22
872,3,245.46
873,1,411.2
874,1,410.16
875,0,544.63
876,2,242.79
877,1,445.76
878,1,395.13
879,1,288.99
880,2,141.44
881,1,328.73
882,0,531.41
883,0,667.74
884,1,148.33
885,0,738.14
886,2,280.89
887,0,652.67
888,1,495.61
889,2,359.58
890,0,519.67
891,2,60.15
892,0,610.17
893,1,422.25
894,0,799.26
895,0,538.92
896,0,523.75
897,1,492.09
898,1,480.81
899,2,462.16
900,0,572.63
901,1,446.06
902,1,89.55
903,0,597.87
904,1,333.66
905,2,183.87
906,1,360.81
907,2,193.01
908,1,474.93
909,1,351.3
910,1,97.74
911,0,691.86
912,1,495.61
913,0,675.52
914,1,239.61
915,3,341.78
916,1,423.58
917,0,585.09
918,2,65.44
919,0,528.78
920,1,316.61
921,1,465.07
922,1,337.48
923,1,372.88
924,2,246.18
925,1,340.15
926,0,646.84
927,4,204.69
928,1,312.73
929,0,1267.06
930,0,513.93
931,1,416.65
932,1,449.87
933,1,284.33
934,1,367.11
935,0,758.0
936,0,583.67
937,1,277.76
938,2,307.32
939,1,435.28
940,0,927.27
941,1,443.13
942,2,256.7
943,1,388.84
944,2,261.42
945,1,443.13
946,1,55.83
947,1,195.54
948,1,233.16
949,0,507.98
950,4,258.59
951,1,143.27
952,2,193.28
953,0,1137.59
954,0,500.2
955,3,331.82
956,0,596.62
957,1,233.63
958,1,309.79
959,0,600.86
960,4,118.2
961,1,104.88
962,2,436.04
963,1,476.19
964,1,395.61
965,0,730.96
966,0,918.32
967,2,170.92
968,2,246.02
969,1,338.91
970,0,584.78
971,2,450.55
972,0,716.0
973,2,130.95
974,4,307.53
975,4,208.29
976,1,423.48
977,2,433.19
978,0,590.41
979,0,660.38
980,2,425.19
981,1,485.38
982,1,294.72
983,1,360.25
984,2,262.03
985,2,275.16
986,2,182.51
987,2,242.2
988,0,669.62
989,1,89.55
990,1,297.45
991,1,494.98
992,1,389.47
993,0,558.48
994,0,503.68
995,1,213.98
996,1,119.95
997,1,372.64
998,2,132.09
999,1,315.89
1000,0,1243.39
1001,0,617.48
1002,3,414.11
1003,4,309.3
1004,0,1056.56
1005,3,277.75
1006,2,180.34
1007,0,553.84
1008,1,273.53
1009,2,414.35
1010,4,166.81
1011,2,96.13
1012,4,286.62
1013,1,479.48
1014,3,107.33
1015,1,122.97
1016,0,630.46
1017,0,753.42
1018,1,437.04
1019,1,384.51
1020,1,462.03
1021,0,756.32
1022,0,577.29
1023,1,215.05
1024,1,355.59
1025,0,729.62
1026,2,256.23
1027,0,681.97
1028,0,553.35
1029,0,588.3
1030,1,312.24
1031,2,431.8
1032,0,670.69
1033,2,355.0
1034,0,564.17
1035,1,470.8
1036,1,463.45
1037,2,247.11
1038,1,220.31
1039,1,93.46
1040,1,410.45
1041,0,597.7
1042,1,403.92
1043,3,216.09
1044,0,896.09
1045,1,446.4
1046,1,193.95
1047,1,181.68
1048,1,148.15
1049,1,336.82
1050,4,380.37
1051,0,744.21
1052,0,788.39
1053,1,308.5
1054,0,620.36
1055,4,131.53
1056,0,607.14
1057,1,404.11
1058,1,129.87
1059,1,90.11
1060,1,217.62
1061,1,122.75
1062,2,146.86
1063,0,515.92
1064,2,267.42
1065,1,281.94
1066,4,290.71
1067,1,102.61
1068,1,443.6
1069,2,205.69
1070,0,877.44
1071,1,308.73
1072,1,293.82
1073,2,189.29
1074,1,475.63
1075,1,262.76
1076,2,176.44
1077,0,504.22
1078,0,661.15
1079,0,711.0
1080,1,220.29
1081,0,575.07
1082,2,434.39
1083,2,280.89
1084,1,337.82
1085,1,111.56
1086,1,473.25
1087,1,438.16
1088,1,441.07
1089,1,313.35
1090,3,189.53
1091,1,260.58
1092,1,445.0
1093,1,89.32
1094,2,281.5
1095,1,275.97
1096,1,389.77
1097,1,360.81
1098,1,215.5
1099,0,1126.78
1100,1,91.51
1101,1,242.6
1102,2,333.08
1103,0,720.38
1104,1,396.01
1105,1,492.82
1106,0,595.08
1107,0,519.72
1108,1,365.14
1109,1,195.5
1110,1,99.15
1111,1,69.21
1112,1,350.48
1113,1,335.93
1114,0,552.83
1115,2,456.32
1116,2,376.98
1117,1,270.08
1118,2,359.74
1119,0,745.82
1120,1,218.16
1121,0,605.04
1122,2,146.34
1123,2,281.81
1124,2,330.82
1125,1,473.18
1126,0,576.06
1127,2,309.57
1128,0,746.08
1129,1,317.52
1130,1,399.93
1131,0,757.22
1132,0,505.74
1133,0,531.14
1134,0,503.17
1135,1,233.63
1136,1,338.54
1137,1,496.0
1138,1,380.02
1139,1,380.61
1140,2,163.77
1141,0,669.62
1142,0,540.83
1143,0,682.58
1144,0,1143.98
1145,1,110.59
1146,1,321.84
1147,1,326.53
1148,1,205.74
1149,1,239.35
1150,0,1405.56
1151,0,657.66
1152,2,143.61
1153,0,661.28
1154,2,400.28
1155,1,149.35
1156,4,311.28
1157,1,369.32
1158,1,247.23
1159,2,191.32
1160,3,225.07
1161,0,1578.75
1162,0,1264.6
1163,0,717.25
1164,0,513.58
1165,1,160.23
1166,2,233.64
1167,1,311.39
1168,2,228.35
1169,1,259.21
1170,0,533.0
1171,3,205.46
1172,1,84.41
1173,1,401.43
1174,0,765.81
1175,0,630.76
1176,0,562.75
1177,1,372.17
1178,1,349.32
1179,0,763.48
1180,0,697.62
1181,1,359.62
1182,1,326.54
1183,1,163.95
1184,1,89.55
1185,0,1143.76
1186,0,720.22
1187,1,385.42
1188,0,874.27
1189,1,244.74
1190,0,684.2
1191,1,429.45
1192,1,181.33
1193,1,320.06
1194,1,132.03
1195,4,330.46
1196,0,593.42
1197,1,290.92
1198,0,570.01
1199,0,848.55
1200,1,412.92
1201,0,551.35
1202,1,354.95
1203,1,459.78
1204,2,232.48
1205,2,292.65
1206,0,534.08
1207,2,213.81
1208,2,293.31
1209,0,781.96
1210,2,269.83
1211,1,380.93
1212,0,545.71
1213,3,208.77
1214,1,472.1
1215,0,714.8
1216,2,191.29
1217,1,239.61
1218,2,51.73
1219,1,197.66
1220,1,275.85
1221,4,157.34
1222,2,189.09
1223,0,580.07
1224,1,280.76
1225,0,618.47
1226,0,737.11
1227,1,250.98
1228,0,704.78
1229,0,626.5
1230,1,293.9
1231,1,498.02
1232,2,380.77
1233,1,268.45
1234,1,225.23
1235,0,557.92
1236,1,244.41
1237,0,581.34
1238,0,790.27
1239,2,356.14
1240,2,384.4
1241,1,176.15
1242,0,727.76
1243,2,171.69
1244,2,281.04
1245,1,459.06
1246,1,472.88
1247,1,309.09
1248,2,102.09
1249,1,334.36
1250,2,189.42
1251,1,427.78
1252,1,331.36
1253,1,238.69
1254,1,312.24
1255,0,504.22
1256,1,478.87
1257,0,505.84
1258,4,298.62
1259,0,522.9
1260,1,181.89
1261,4,180.02
1262,0,508.32
1263,1,446.89
1264,0,541.5
1265,2,241.16
1266,1,367.93
1267,0,674.64
1268,0,552.28
1269,4,296.48
1270,0,705.59
1271,3,117.71
1272,2,364.49
1273,1,80.01
1274,1,239.49
1275,1,393.96
1276,0,918.32
1277,1,437.04
1278,1,437.25
1279,0,766.39
1280,0,517.95
1281,1,245.96
1282,0,806.68
1283,1,251.09
1284,2,421.78
1285,2,200.39
1286,2,324.61
1287,3,479.21
1288,4,84.94
1289,1,242.48
1290,0,793.93
1291,0,610.15
1292,0,561.77
1293,0,786.61
1294,0,537.22
1295,1,240.03
1296,0,595.85
1297,0,720.38
1298,1,72.05
1299,0,510.34
1300,0,532.91
1301,1,315.8
1302,0,681.03
1303,0,1056.56
1304,0,523.73
1305,2,285.47
1306,1,268.42
1307,1,271.53
1308,1,304.47
1309,1,326.57
1310,1,320.93
1311,1,242.98
1312,1,404.11
1313,0,1242.74
1314,3,241.49
1315,1,246.15
1316,1,412.26
1317,0,741.2
1318,1,466.51
1319,1,90.51
1320,1,454.97
1321,1,85.51
1322,2,465.47
1323,1,257.04
1324,1,447.67
1325,3,454.9
1326,0,1227.92
1327,0,918.32
1328,2,386.43
1329,1,487.76
1330,0,749.14
1331,0,771.48
1332,0,583.67
1333,1,496.37
1334,1,339.14
1335,1,397.03
1336,1,155.97
1337,2,398.11
1338,0,649.89
1339,1,146.0
1340,1,438.68
1341,2,185.76
1342,0,576.25
1343,1,478.04
1344,1,463.05
1345,1,437.86
1346,0,629.45
1347,1,366.06
1348,0,554.68
1349,1,256.49
1350,1,371.59
1351,3,285.05
1352,0,613.73
1353,2,467.57
1354,1,264.59
1355,1,415.23
1356,1,380.61
1357,0,518.65
1358,1,325.18
1359,2,299.65
1360,0,798.27
1361,1,242.48
1362,1,326.61
1363,1,238.41
1364,1,246.29
1365,1,211.06
1366,1,343.92
1367,1,288.99
1368,1,93.1
1369,2,311.33
1370,1,270.35
1371,0,963.27
1372,0,1556.9
1373,0,579.48
1374,0,505.78
1375,1,498.84
1376,1,431.95
1377,1,364.27
1378,3,247.87
1379,2,242.53
1380,2,172.64
1381,0,558.29
1382,0,523.58
1383,1,284.65
1384,0,586.91
1385,0,667.14
1386,1,254.83
1387,1,409.25
1388,4,279.85
1389,4,192.68
1390,0,1243.39
1391,1,417.86
1392,0,551.42
1393,1,235.67
1394,1,442.86
1395,2,323.11
1396,0,1250.23
1397,0,526.6
1398,1,222.54
1399,1,387.09
1400,0,689.66
1401,0,530.81
1402,1,140.33
1403,0,711.0
1404,1,441.38
1405,2,396.88
1406,2,443.02
1407,2,443.88
1408,1,309.79
1409,2,282.88
1410,0,562.75
1411,2,331.9
1412,0,597.97
1413,2,410.94
1414,1,313.73
1415,0,1828.82
1416,1,375.37
1417,2,194.44
1418,1,393.27
1419,1,441.8
1420,2,290.17
1421,3,374.23
1422,1,206.45
1423,0,550.04
1424,1,245.04
1425,1,363.68
1426,1,258.95
1427,1,362.16
1428,1,377.55
1429,2,489.61
1430,1,199.61
1431,0,521.61
1432,0,714.39
1433,0,832.36
1434,1,195.44
1435,1,256.29
1436,0,618.26
1437,1,278.97
1438,1,437.04
1439,1,324.97
1440,0,1270.19
1441,0,510.49
1442,0,1381.41
1443,2,428.16
1444,1,206.45
1445,3,425.69
1446,2,411.2
1447,1,404.27
1448,0,501.37
1449,2,303.6
1450,1,354.5
1451,1,188.43
1452,2,409.42
1453,0,575.73
1454,0,671.61
1455,0,963.75
1456,4,307.1
1457,0,667.35
1458,2,223.82
1459,0,511.86
1460,1,120.53
1461,0,576.34
1462,2,436.74
1463,2,331.53
1464,3,192.5
1465,0,573.99
1466,0,690.24
1467,1,271.79
1468,0,600.67
1469,1,496.13
1470,1,212.08
1471,1,285.66
1472,0,807.25
1473,0,504.14
1474,2,151.97
1475,2,172.64
1476,0,509.66
1477,1,390.43
1478,1,158.2
1479,0,606.8
1480,0,509.36
1481,0,533.0
1482,1,136.82
1483,1,251.67
1484,1,241.63
1485,0,509.89
1486,0,683.06
1487,2,479.15
1488,0,564.33
1489,0,1185.82
1490,0,696.36
1491,2,356.24
1492,3,246.3
1493,1,145.08
1494,0,629.49
1495,1,474.74
1496,0,568.2
1497,2,228.75
1498,1,193.54
1499,2,353.63
1500,4,175.49
1501,1,421.32
1502,1,122.26
1503,2,307.26
1504,2,395.97
1505,2,384.4
1506,2,242.97
1507,1,345.11
1508,0,545.15
1509,2,143.34
1510,2,165.12
1511,1,470.85
1512,0,529.06
1513,0,547.3
1514,1,492.69
1515,1,263.5
1516,1,275.97
1517,1,487.69
1518,2,224.65
1519,1,326.37
1520,0,605.04
1521,1,476.9
1522,0,697.42
1523,0,665.94
1524,1,231.8
1525,2,271.73
1526,2,419.55
1527,1,277.79
1528,0,927.27
1529,0,658.39
1530,2,420.03
1531,1,496.0
1532,0,622.25
1533,2,194.24
1534,0,593.66
1535,0,687.37
1536,1,430.63
1537,0,1388.73
1538,1,159.53
1539,0,643.15
1540,2,252.11
1541,1,76.36
1542,3,427.09
1543,1,397.94
1544,0,676.4
1545,0,534.06
1546,1,432.81
1547,1,183.25
1548,0,511.08
1549,1,495.66
1550,1,449.85
1551,1,415.56
1552,1,246.2
1553,1,371.61
1554,2,322.9
1555,0,537.07
1556,1,403.79
1557,1,94.11
1558,2,279.88
1559,0,935.68
1560,2,204.18
1561,0,1250.23
1562,0,555.14
1563,2,423.35
1564,2,398.02
1565,3,250.32
1566,0,1312.82
1567,0,980.64
1568,0,732.95
1569,1,442.36
1570,2,297.5
1571,1,122.97
1572,0,1024.66
1573,0,743.78
1574,2,357.73
1575,1,189.02
1576,1,288.58
1577,1,315.89
1578,1,275.1
1579,0,802.45
1580,1,151.22
1581,2,281.79
1582,1,253.66
1583,0,698.35
1584,1,247.67
1585,1,472.6
1586,2,223.98
1587,0,629.45
1588,1,438.44
1589,2,126.03
1590,0,829.05
1591,0,668.49
1592,0,582.21
1593,1,485.77
1594,0,647.54
1595,1,303.8
1596,0,731.42
1597,1,255.09
1598,3,253.28
1599,0,632.96
1600,1,408.43
1601,1,322.94
1602,1,337.59
1603,0,855.77
1604,2,101.43
1605,1,294.87
1606,2,224.61
1607,0,646.4
1608,0,669.23
1609,2,423.81
1610,0,743.78
1611,1,313.43
1612,0,642.12
1613,1,257.22
1614,2,481.54
1615,3,390.69
1616,0,674.5
1617,3,207.84
1618,0,1027.54
1619,0,767.69
1620,0,523.33
1621,2,262.44
1622,0,777.79
1623,0,519.67
1624,0,840.02
1625,0,613.97
1626,1,162.0
1627,2,307.8
1628,3,297.69
1629,1,360.43
1630,1,427.68
1631,1,281.0
1632,1,454.11
1633,1,230.24
1634,1,374.51
1635,0,557.93
1636,1,186.57
1637,1,440.23
1638,1,250.51
1639,1,157.16
1640,1,321.84
1641,3,306.66
1642,0,729.62
1643,1,498.25
1644,2,464.0
1645,1,355.33
1646,0,716.5
1647,1,247.3
1648,1,367.83
1649,2,228.88
1650,0,716.5
1651,1,318.74
1652,1,404.66
1653,0,965.81
1654,1,334.36
1655,0,512.74
