index,flat_model,floor_area_sqm,lease_commence_date
289,10,67.0,1978
290,7,90.0,2001
291,11,113.0,2003
292,5,65.0,1976
293,6,150.0,1985
294,5,110.0,2001
295,10,67.0,1977
296,11,110.0,2008
297,11,93.0,2010
298,3,149.0,1993
299,3,149.0,1995
300,10,98.0,1978
301,7,47.0,2018
302,5,122.0,1999
303,11,70.0,2017
304,7,103.0,1987
305,5,59.0,1974
306,10,98.0,1978
307,7,105.0,1992
308,7,74.0,1984
309,5,67.0,1971
310,11,112.0,2004
311,4,67.0,2014
312,7,93.0,2012
313,5,110.0,2003
314,7,104.0,1988
315,5,70.0,1984
316,7,103.0,1984
317,7,74.0,1989
318,7,102.0,1998
319,5,121.0,1985
320,6,146.0,1986
321,5,65.0,1976
322,5,110.0,2006
323,5,65.0,1977
324,11,147.0,1999
325,10,67.0,1979
326,7,105.0,1988
327,7,68.0,2016
328,7,73.0,1988
329,10,67.0,1985
330,11,91.0,2007
331,5,60.0,1986
332,6,146.0,1997
333,5,121.0,1998
334,5,120.0,2001
335,7,103.0,1987
336,14,84.0,1988
337,5,122.0,1999
338,5,123.0,1999
339,7,73.0,1989
340,5,110.0,2001
341,10,67.0,1985
342,7,85.0,2003
343,5,123.0,1993
344,7,90.0,2003
345,5,122.0,1988
346,5,105.0,2004
347,7,90.0,2001
348,10,68.0,1980
349,14,84.0,1988
350,10,92.0,1979
351,11,93.0,2017
352,7,75.0,1983
353,5,110.0,2001
354,10,99.0,1984
355,6,146.0,1992
356,3,150.0,1993
357,5,113.0,2001
358,3,141.0,1999
359,5,84.0,1977
360,7,104.0,1991
361,7,67.0,2018
362,7,103.0,1986
363,10,91.0,1984
364,5,118.0,1997
365,7,104.0,1984
366,7,104.0,1995
367,10,104.0,1983
368,10,93.0,1985
369,3,130.0,2000
370,5,45.0,1986
371,5,123.0,1989
372,5,121.0,1985
373,15,72.0,1971
374,7,100.0,1997
375,5,119.0,1997
376,15,114.0,1975
377,7,100.0,2000
378,5,120.0,1998
379,5,115.0,2001
380,15,52.0,1971
381,10,67.0,1978
382,7,95.0,2012
383,5,110.0,2004
384,5,111.0,2001
385,5,59.0,1978
386,7,106.0,1996
387,10,82.0,1995
388,10,82.0,1981
389,10,101.0,1980
390,5,110.0,2000
391,5,110.0,2003
392,7,107.0,1996
393,8,139.0,1984
394,5,88.0,1974
395,7,104.0,1989
396,7,47.0,2015
397,14,84.0,1985
398,10,82.0,1985
399,6,146.0,1986
400,5,125.0,1978
401,5,82.0,1980
402,10,93.0,1984
403,15,118.0,1978
404,10,73.0,1976
405,7,92.0,2017
406,5,110.0,2004
407,7,100.0,1997
408,5,120.0,1999
409,5,123.0,1988
410,10,92.0,1980
411,7,110.0,1993
412,9,85.0,2001
413,7,90.0,2002
414,5,110.0,2002
415,7,106.0,1984
416,5,65.0,1977
417,11,112.0,2004
418,10,68.0,1980
419,11,95.0,2004
420,10,67.0,1985
421,5,110.0,2006
422,3,126.0,2002
423,5,121.0,1989
424,10,68.0,1983
425,7,92.0,2005
426,11,93.0,2004
427,10,91.0,1992
428,7,93.0,2012
429,7,74.0,1984
430,10,67.0,1984
431,5,60.0,1978
432,11,127.0,2002
433,5,60.0,1970
434,5,125.0,1996
435,15,59.0,1971
436,6,146.0,1986
437,11,110.0,2005
438,10,67.0,1978
439,5,123.0,1993
440,10,82.0,1978
441,7,93.0,2017
442,10,67.0,1983
443,5,65.0,1982
444,10,91.0,1978
445,11,112.0,2003
446,7,75.0,1983
447,6,152.0,1986
448,11,90.0,2007
449,7,91.0,2009
450,5,121.0,1989
451,5,53.0,1971
452,5,67.0,1971
453,7,85.0,2001
454,5,123.0,1992
455,7,90.0,2000
456,7,91.0,2001
457,5,119.0,1994
458,10,92.0,1978
459,10,91.0,1984
460,7,74.0,1984
461,5,59.0,1983
462,5,82.0,1980
463,7,73.0,1984
464,5,110.0,2002
465,14,64.0,1986
466,5,120.0,1998
467,15,59.0,1971
468,7,104.0,1993
469,5,65.0,1975
470,6,145.0,1988
471,5,122.0,1989
472,10,73.0,1977
473,10,72.0,1984
474,5,110.0,2003
475,5,44.0,1980
476,7,74.0,1984
477,3,143.0,1996
478,10,91.0,1980
479,9,91.0,1998
480,5,90.0,1977
481,7,79.0,1985
482,7,107.0,1996
483,10,67.0,1976
484,11,106.0,1997
485,7,133.0,1985
486,10,67.0,1978
487,7,90.0,2006
488,10,82.0,1980
489,5,110.0,2002
490,10,92.0,1979
491,7,104.0,1983
492,7,106.0,1993
493,7,105.0,1996
494,7,93.0,2015
495,5,121.0,1992
496,10,67.0,1979
497,15,120.0,1976
498,5,122.0,1998
499,10,67.0,1985
500,5,123.0,1992
501,5,127.0,1988
502,11,114.0,2013
503,10,73.0,1978
504,5,127.0,1993
505,11,90.0,2009
506,5,110.0,2004
507,11,112.0,2003
508,10,67.0,1985
509,10,67.0,1982
510,5,110.0,2003
511,5,111.0,2001
512,7,94.0,2010
513,10,68.0,1984
514,5,65.0,1967
515,5,66.0,1970
516,7,92.0,2015
517,10,67.0,1980
518,10,74.0,1978
519,3,144.0,1997
520,5,121.0,1989
521,5,122.0,1997
522,11,113.0,2006
523,5,87.0,1976
524,5,123.0,1993
525,5,123.0,1997
526,7,100.0,1999
527,14,84.0,1988
528,10,91.0,1981
529,5,116.0,1999
530,11,113.0,2001
531,10,73.0,1977
532,5,123.0,1993
533,10,73.0,1979
534,11,102.0,2000
535,5,127.0,1995
536,10,67.0,1985
537,11,110.0,2008
538,5,112.0,2016
539,10,91.0,1978
540,10,67.0,1980
541,10,67.0,1985
542,10,82.0,1980
543,7,101.0,1985
544,10,91.0,1978
545,6,148.0,1991
546,10,92.0,1979
547,5,68.0,1979
548,5,110.0,2005
549,11,111.0,2003
550,7,92.0,2004
551,10,67.0,1980
552,10,67.0,1982
553,5,65.0,1974
554,11,93.0,2016
555,5,59.0,1975
556,10,67.0,1985
557,5,65.0,1975
558,5,120.0,1999
559,5,122.0,1986
560,7,85.0,2004
561,7,92.0,2005
562,3,130.0,2000
563,11,142.0,2000
564,7,109.0,1985
565,5,124.0,1996
566,10,67.0,1985
567,10,67.0,1985
568,5,66.0,1981
569,10,95.0,1983
570,5,121.0,1997
571,15,63.1,1971
572,11,91.0,2007
573,7,93.0,2013
574,5,59.0,1974
575,5,124.0,2012
576,7,75.0,2003
577,5,110.0,2002
578,7,103.0,1985
579,5,65.0,1974
580,5,66.0,1970
581,5,88.0,1975
582,7,105.0,1993
583,7,93.0,2012
584,11,110.0,2003
585,5,111.0,2001
586,5,127.0,1989
587,5,120.0,1998
588,10,67.0,1978
589,10,67.0,1978
590,7,67.0,2012
591,10,67.0,1986
592,14,64.0,1985
593,7,133.0,1993
594,7,104.0,1992
595,7,103.0,1986
596,7,101.0,1996
597,7,104.0,1985
598,7,100.0,1997
599,7,103.0,1990
600,10,73.0,1978
601,5,121.0,1987
602,7,67.0,2015
603,5,76.0,1975
604,10,93.0,1984
605,14,89.0,1987
606,5,110.0,2002
607,7,68.0,2018
608,7,93.0,2016
609,7,104.0,1984
610,11,112.0,2002
611,6,146.0,1988
612,5,119.0,1997
613,7,108.0,1987
614,7,74.0,1988
615,11,110.0,2004
616,5,122.0,1989
617,6,146.0,1985
618,11,144.0,1996
619,7,107.0,1993
620,5,45.0,1986
621,7,104.0,1985
622,9,91.0,1999
623,10,93.0,1980
624,17,93.0,2011
625,7,90.0,2003
626,5,72.0,1970
627,11,90.0,2007
628,14,64.0,1986
629,11,112.0,2016
630,5,122.0,1989
631,4,117.0,2011
632,7,100.0,1997
633,10,74.0,1979
634,7,74.0,1984
635,14,84.0,1986
636,7,106.0,1997
637,7,73.0,1988
638,10,75.0,1980
639,5,110.0,2003
640,15,63.0,1970
641,7,67.0,2012
642,14,64.0,1987
643,2,161.0,1982
644,11,110.0,2003
645,14,83.0,1998
646,10,90.0,1978
647,7,91.0,2009
648,11,112.0,2008
649,7,100.0,1997
650,10,67.0,1985
651,5,128.0,1995
652,5,128.0,1993
653,5,122.0,1986
654,11,95.0,2001
655,5,65.0,1974
656,10,68.0,1980
657,5,118.0,1980
658,7,91.0,2004
659,9,90.0,2000
660,5,123.0,1988
661,7,105.0,1994
662,10,94.0,1981
663,5,110.0,2001
664,5,65.0,1975
665,5,127.0,1996
666,10,67.0,1980
667,10,73.0,1979
668,7,63.0,2015
669,5,120.0,1998
670,10,92.0,1985
671,10,92.0,1977
672,5,65.0,1974
673,10,92.0,1979
674,5,115.0,1999
675,5,65.0,1976
676,10,91.0,1980
677,10,67.0,1985
678,5,59.0,1975
679,5,60.0,1986
680,5,65.0,1973
681,7,75.0,1983
682,7,104.0,1996
683,10,81.0,1978
684,5,110.0,2003
685,7,104.0,1992
686,5,123.0,1995
687,10,84.0,1983
688,7,73.0,1988
689,10,68.0,1981
690,10,67.0,1980
691,5,60.0,1970
692,7,67.0,2015
693,10,67.0,1985
694,11,111.0,2005
695,7,101.0,1999
696,11,105.0,1999
697,10,68.0,1979
698,10,67.0,1979
699,5,120.0,1982
700,10,68.0,1981
701,11,130.0,2003
702,14,64.0,1986
703,11,110.0,2005
704,7,73.0,1984
705,5,122.0,1987
706,7,88.0,2007
707,6,147.0,1991
708,11,112.0,2017
709,5,112.0,2016
710,5,110.0,2002
711,7,95.0,2000
712,7,106.0,1994
713,5,67.0,1972
714,11,93.0,2017
715,5,77.0,1975
716,7,102.0,1984
717,5,68.0,1970
718,7,67.0,2013
719,7,74.0,1984
720,5,124.0,1995
721,5,76.0,1971
722,5,65.0,1975
723,5,109.0,2000
724,5,91.0,1974
725,10,75.0,1980
726,3,147.0,1996
727,5,67.0,1970
728,7,104.0,1985
729,10,67.0,1978
730,7,134.0,1993
731,7,108.0,1992
732,10,93.0,1986
733,10,98.0,1985
734,7,100.0,1998
735,10,67.0,1978
736,10,93.0,1985
737,5,119.0,1997
738,5,124.0,1995
739,5,60.0,1985
740,7,103.0,1988
741,10,67.0,1985
742,10,81.0,1981
743,7,94.0,2010
744,7,47.0,2014
745,10,92.0,1978
746,5,66.0,1970
747,11,104.0,2000
748,7,106.0,1989
749,5,65.0,1974
750,10,67.0,1977
751,10,82.0,1981
752,7,101.0,1999
753,10,68.0,1980
754,5,110.0,2001
755,7,106.0,1998
756,3,145.0,1996
757,5,65.0,1976
758,11,110.0,2005
759,14,83.0,1988
760,7,92.0,2014
761,5,110.0,2006
762,7,140.0,1996
763,10,67.0,1985
764,7,102.0,1999
765,7,73.0,1983
766,7,138.0,1985
767,7,104.0,1996
768,5,110.0,2000
769,7,108.0,1996
770,11,128.0,2003
771,5,68.0,1972
772,5,59.0,1975
773,7,73.0,1985
774,7,104.0,1984
775,15,117.0,1979
776,10,67.0,1979
777,11,114.0,2001
778,14,84.0,1985
779,14,84.0,1987
780,3,143.0,1992
781,7,90.0,2006
782,10,73.0,1979
783,5,110.0,2002
784,5,126.0,1996
785,10,67.0,1980
786,6,148.0,1984
787,11,118.0,2001
788,5,113.0,2015
789,7,90.0,2001
790,10,67.0,1983
791,10,67.0,1979
792,5,125.0,1985
793,4,86.0,2015
794,7,109.0,1983
795,14,64.0,1988
796,10,67.0,1984
797,5,110.0,2002
798,5,122.0,1997
799,11,113.0,2018
800,11,111.0,2005
801,10,82.0,1985
802,7,104.0,1987
803,5,110.0,2003
804,7,69.0,2018
805,10,69.0,1995
806,10,68.0,1980
807,7,75.0,2003
808,7,73.0,1987
809,7,76.0,1984
810,11,115.0,2003
811,7,104.0,1997
812,5,65.0,1975
813,5,44.0,1978
814,5,122.0,1988
815,7,104.0,1998
816,5,59.0,1978
817,5,65.0,1976
818,7,93.0,2013
819,5,126.0,1993
820,5,110.0,2001
821,11,111.0,2005
822,7,93.0,2015
823,7,101.0,1997
824,3,131.0,2000
825,11,102.0,1998
826,11,110.0,2003
827,10,93.0,1983
828,5,121.0,1986
829,9,91.0,1998
830,10,67.0,1984
831,7,104.0,1988
832,14,64.0,1986
833,7,91.0,2000
834,5,66.0,1972
835,11,127.0,2002
836,5,120.0,1985
837,7,98.0,1997
838,7,101.0,1999
839,5,127.0,1993
840,5,59.0,1975
841,5,65.0,1975
842,7,104.0,1994
843,5,119.0,1979
844,11,92.0,2016
845,5,113.0,2018
846,5,60.0,1981
847,5,113.0,2018
848,14,83.0,1987
849,7,103.0,1993
850,5,84.0,1974
851,9,85.0,2003
852,7,103.0,1996
853,7,108.0,1995
854,9,85.0,2002
855,10,98.0,1978
856,7,105.0,1992
857,5,110.0,2001
858,10,67.0,1978
859,5,65.0,1976
860,3,147.0,1994
861,7,74.0,1983
862,10,68.0,1981
863,10,67.0,1985
864,10,91.0,1981
865,5,67.0,1970
866,10,68.0,1986
867,6,146.0,1986
868,7,103.0,1984
869,7,74.0,1984
870,14,64.0,1988
871,6,150.0,1985
872,10,68.0,1984
873,7,90.0,2005
874,7,90.0,2000
875,10,90.0,1981
876,15,120.0,1976
877,14,84.0,1987
878,10,91.0,1984
879,3,146.0,1992
880,7,94.0,2012
881,5,59.0,1975
882,10,67.0,1985
883,14,84.0,1987
884,10,93.0,1985
885,7,100.0,1997
886,7,106.0,1991
887,14,84.0,1988
888,7,105.0,1988
889,7,106.0,1993
890,7,104.0,1997
891,7,108.0,1995
892,5,112.0,2001
893,10,95.0,1985
894,10,82.0,1979
895,11,112.0,2003
896,5,110.0,2000
897,5,65.0,1974
898,7,100.0,1997
899,5,110.0,2003
900,7,113.0,1983
901,5,87.0,1976
902,10,67.0,1979
903,7,107.0,1984
904,9,90.0,1999
905,3,142.0,1997
906,7,46.0,2014
907,7,103.0,1987
908,10,67.0,1984
909,10,92.0,1980
910,3,130.0,2001
911,5,66.0,1973
912,7,105.0,1988
913,7,137.0,1983
914,14,86.0,1987
915,10,93.0,1984
916,14,84.0,1987
917,5,121.0,1988
918,7,92.0,2019
919,14,64.0,1987
920,6,143.0,1999
921,7,86.0,2002
922,7,90.0,2009
923,15,62.0,1969
924,11,130.0,2003
925,7,99.0,1997
926,5,130.0,1993
927,7,79.0,1983
928,7,100.0,1997
929,5,65.0,1975
930,7,92.0,2012
931,10,67.0,1979
932,15,59.0,1971
933,11,102.0,2001
934,7,90.0,2003
935,5,88.0,1974
936,11,112.0,2003
937,10,67.0,1978
938,7,104.0,1985
939,10,68.0,1981
940,10,68.0,1980
941,5,65.0,1975
942,5,110.0,2000
943,5,116.0,2000
944,5,115.0,2000
945,5,65.0,1975
946,7,47.0,2015
947,14,84.0,1987
948,7,104.0,1984
949,5,87.0,1973
950,5,110.0,2001
951,7,109.0,1993
952,3,142.0,1986
953,5,59.0,1975
954,10,91.0,1981
955,11,110.0,2003
956,5,60.0,1978
957,18,108.0,2011
958,10,67.0,1978
959,10,68.0,1979
960,7,91.0,2001
961,11,104.0,2000
962,3,135.0,1999
963,7,138.0,1985
964,14,83.0,1985
965,7,106.0,1992
966,5,68.0,1979
967,5,82.0,1976
968,11,114.0,2004
969,11,110.0,2004
970,7,101.0,1999
971,14,84.0,1985
972,5,116.0,2001
973,14,84.0,1985
974,3,125.0,2002
975,11,128.0,2003
976,7,105.0,1988
977,7,104.0,1992
978,10,98.0,1984
979,7,74.0,1985
980,7,67.0,2012
981,14,84.0,1987
982,14,64.0,1985
983,5,65.0,1982
984,7,103.0,1984
985,11,95.0,2012
986,7,104.0,1984
987,14,64.0,1987
988,5,111.0,2002
989,10,67.0,1979
990,5,122.0,1988
991,7,68.0,2016
992,5,129.0,1995
993,7,92.0,2015
994,5,65.0,1967
995,14,84.0,1985
996,14,64.0,1985
997,5,123.0,1990
998,7,90.0,2003
999,5,67.0,1970
1000,5,65.0,1975
1001,10,68.0,1980
1002,11,104.0,2000
1003,11,110.0,2003
1004,15,117.0,1979
1005,10,68.0,1981
1006,7,104.0,1997
1007,15,56.0,1971
1008,10,67.0,1978
1009,11,110.0,2003
1010,7,104.0,1990
1011,7,74.0,1984
1012,7,65.0,2012
1013,7,104.0,1996
1014,3,125.0,2002
1015,5,110.0,2003
1016,7,133.0,1984
1017,7,93.0,2017
1018,10,91.0,1980
1019,10,67.0,1979
1020,10,68.0,1979
1021,9,90.0,1998
1022,10,83.0,1978
1023,5,119.0,1978
1024,5,121.0,1996
1025,10,89.0,1983
1026,10,88.0,1978
1027,5,112.0,2016
1028,10,67.0,1978
1029,7,100.0,1997
1030,7,92.0,2003
1031,10,67.0,1979
1032,7,105.0,1983
1033,7,113.0,1989
1034,7,104.0,1988
1035,10,99.0,1978
1036,5,120.0,1998
1037,7,109.0,1995
1038,10,92.0,1980
1039,10,93.0,1985
1040,10,91.0,1985
1041,3,146.0,1993
1042,14,64.0,1986
1043,11,147.0,1999
1044,8,140.0,1984
1045,10,92.0,1980
1046,10,68.0,1980
1047,7,60.0,2009
1048,5,110.0,2002
1049,10,92.0,1979
1050,7,108.0,1984
1051,5,120.0,1989
1052,11,102.0,1998
1053,7,104.0,1986
1054,11,115.0,2001
1055,7,105.0,1984
1056,5,68.0,1979
1057,7,106.0,1990
1058,7,103.0,1988
1059,15,63.0,1981
1060,7,74.0,1985
1061,11,105.0,2000
1062,7,73.0,1986
1063,11,65.0,2016
1064,11,93.0,2017
1065,7,113.0,1989
1066,5,122.0,1990
1067,5,66.0,1972
1068,7,90.0,2000
1069,5,122.0,1988
1070,7,104.0,1985
1071,7,91.0,2001
1072,7,103.0,1987
1073,7,132.0,1985
1074,5,124.0,1993
1075,7,90.0,2002
1076,11,95.0,2012
1077,15,63.0,1970
1078,11,110.0,2004
1079,7,150.0,1985
1080,10,91.0,1986
1081,10,67.0,1985
1082,3,143.0,1998
1083,7,106.0,1991
1084,5,123.0,1998
1085,7,93.0,2018
1086,5,65.0,1972
1087,15,71.0,1969
1088,7,103.0,1992
1089,10,67.0,1984
1090,10,67.0,1985
1091,7,104.0,1984
1092,5,110.0,2005
1093,11,110.0,2006
1094,5,125.0,1993
1095,7,46.0,2014
1096,10,68.0,1979
1097,7,46.0,2014
1098,11,121.0,2000
1099,5,60.0,1980
1100,5,121.0,1992
1101,6,150.0,1986
1102,5,122.0,1993
1103,7,75.0,2002
1104,10,67.0,1984
1105,7,101.0,1998
1106,5,110.0,2001
1107,5,65.0,1967
1108,7,77.0,1983
1109,7,105.0,1985
1110,5,112.0,2001
1111,7,74.0,1987
1112,7,105.0,1992
1113,10,67.0,1983
1114,11,111.0,2003
1115,7,67.0,2012
1116,7,70.0,2012
1117,5,127.0,1993
1118,7,102.0,1998
1119,7,75.0,1984
1120,11,93.0,2004
1121,3,142.0,1988
1122,7,106.0,1993
1123,11,105.0,2000
1124,11,115.0,2004
1125,7,103.0,1984
1126,5,59.0,1977
1127,7,104.0,1987
1128,7,105.0,1992
1129,5,67.0,1970
1130,5,110.0,2003
1131,15,88.0,1973
1132,10,81.0,1978
1133,7,70.0,2011
1134,10,67.0,1978
1135,17,93.0,2011
1136,11,117.0,2000
1137,10,68.0,1980
1138,10,92.0,1981
1139,7,90.0,2005
1140,7,131.0,1995
1141,5,111.0,2002
1142,7,68.0,2017
1143,7,113.0,1989
1144,10,92.0,1980
1145,7,100.0,1997
1146,11,92.0,2017
1147,10,68.0,1980
1148,5,110.0,2002
1149,5,120.0,1982
1150,7,111.0,1983
1151,7,104.0,1992
1152,14,84.0,1988
1153,15,120.0,1977
1154,4,60.0,2014
1155,15,56.0,1973
1156,7,93.0,2012
1157,7,132.0,1984
1158,14,84.0,1988
1159,7,101.0,1997
1160,5,59.0,1978
1161,7,92.0,2013
1162,5,74.0,1982
1163,5,122.0,1989
1164,9,85.0,2004
1165,5,110.0,2002
1166,7,74.0,1987
1167,5,65.0,1975
1168,7,103.0,1997
1169,5,113.0,2012
1170,10,91.0,1978
1171,11,110.0,2003
1172,5,120.0,1998
1173,7,93.0,2005
1174,5,110.0,2003
1175,10,98.0,1978
1176,11,110.0,2003
1177,10,73.0,1977
1178,10,67.0,1978
1179,7,113.0,1992
1180,11,135.0,2001
1181,10,91.0,1985
1182,7,47.0,2019
1183,10,90.0,1982
1184,10,67.0,1979
1185,10,68.0,1980
1186,5,66.0,1970
1187,10,67.0,1984
1188,7,72.0,1985
1189,10,67.0,1979
1190,7,90.0,2002
1191,10,92.0,1978
1192,5,110.0,2002
1193,14,84.0,1987
1194,5,122.0,1987
1195,7,74.0,1984
1196,6,146.0,1989
1197,10,67.0,1980
1198,10,68.0,1979
1199,7,115.0,1992
1200,10,67.0,1978
1201,5,59.0,1978
1202,5,68.0,1978
1203,5,65.0,1975
1204,7,67.0,2014
1205,5,65.0,1976
1206,7,90.0,2006
1207,14,64.0,1986
1208,10,67.0,1977
1209,7,104.0,1989
1210,5,123.0,1978
1211,5,121.0,1999
1212,5,120.0,1982
1213,10,68.0,1984
1214,10,67.0,1984
1215,7,47.0,2019
1216,7,106.0,1985
1217,14,86.0,1987
1218,11,93.0,2011
1219,9,90.0,1997
1220,11,123.0,2000
1221,7,74.0,1985
1222,14,90.0,1985
1223,7,89.0,2013
1224,7,73.0,1984
1225,7,67.0,2015
1226,5,60.0,1985
1227,10,92.0,1978
1228,7,91.0,2013
1229,5,69.0,1984
1230,10,67.0,1985
1231,10,67.0,1979
1232,5,110.0,2003
1233,14,89.0,1985
1234,7,104.0,1984
1235,5,65.0,1973
1236,11,92.0,2004
1237,5,67.0,1970
1238,11,99.0,1998
1239,10,74.0,1979
1240,10,67.0,1979
1241,5,60.0,1985
1242,14,64.0,1985
1243,7,105.0,1989
1244,7,104.0,1996
1245,5,87.0,1976
